"Step","2023_11_01__095529 - hinter_latency","2023_11_01__095529 - hinter_latency__MIN","2023_11_01__095529 - hinter_latency__MAX","2023_11_01__095529 - test_query","2023_11_01__095529 - test_query__MIN","2023_11_01__095529 - test_query__MAX","2023_11_01__095529 - epoch","2023_11_01__095529 - epoch__MIN","2023_11_01__095529 - epoch__MAX","2023_11_01__095529 - pg_lateny","2023_11_01__095529 - pg_lateny__MIN","2023_11_01__095529 - pg_lateny__MAX","2023_11_01__095529 - pg_plan_time","2023_11_01__095529 - pg_plan_time__MIN","2023_11_01__095529 - pg_plan_time__MAX","2023_11_01__095529 - mcts_time","2023_11_01__095529 - mcts_time__MIN","2023_11_01__095529 - mcts_time__MAX","2023_11_01__095529 - hinter_plan_time","2023_11_01__095529 - hinter_plan_time__MIN","2023_11_01__095529 - hinter_plan_time__MAX","2023_11_01__095529 - MPHE_time","2023_11_01__095529 - MPHE_time__MIN","2023_11_01__095529 - MPHE_time__MAX"
"0","0.138171","0.138171","0.138171","0","0","0","0","0","0","0.137354","0.137354","0.137354","0.0035169999999999997","0.0035169999999999997","0.0035169999999999997","0.3236420154571533","0.3236420154571533","0.3236420154571533","0.003604","0.003604","0.003604","0.01941967010498047","0.01941967010498047","0.01941967010498047"
"1","180","180","180","0","0","0","0","0","0","180","180","180","0.02","0.02","0.02","0.009965181350708008","0.009965181350708008","0.009965181350708008","0.02","0.02","0.02","0.012081623077392578","0.012081623077392578","0.012081623077392578"
"2","0.190477","0.190477","0.190477","0","0","0","0","0","0","0.193282","0.193282","0.193282","0.006691","0.006691","0.006691","0.02365589141845703","0.02365589141845703","0.02365589141845703","0.005405999999999999","0.005405999999999999","0.005405999999999999","0.017463207244873047","0.017463207244873047","0.017463207244873047"
"3","180","180","180","0","0","0","0","0","0","180","180","180","0.02","0.02","0.02","0.029411792755126953","0.029411792755126953","0.029411792755126953","0.02","0.02","0.02","0.025841951370239258","0.025841951370239258","0.025841951370239258"
"4","0.059356","0.059356","0.059356","0","0","0","0","0","0","0.061270000000000005","0.061270000000000005","0.061270000000000005","0.0006670000000000001","0.0006670000000000001","0.0006670000000000001","0.011918306350708008","0.011918306350708008","0.011918306350708008","0.000641","0.000641","0.000641","0.0067784786224365234","0.0067784786224365234","0.0067784786224365234"
"5","0.26129","0.26129","0.26129","0","0","0","0","0","0","0.262912","0.262912","0.262912","0.003823","0.003823","0.003823","0.01761603355407715","0.01761603355407715","0.01761603355407715","0.003326","0.003326","0.003326","0.012238502502441406","0.012238502502441406","0.012238502502441406"
"6","0.391322","0.391322","0.391322","0","0","0","0","0","0","180","180","180","0.003375","0.003375","0.003375","0.02614569664001465","0.02614569664001465","0.02614569664001465","0.0033490000000000004","0.0033490000000000004","0.0033490000000000004","0.011683940887451172","0.011683940887451172","0.011683940887451172"
"7","0.096244","0.096244","0.096244","0","0","0","0","0","0","0.096838","0.096838","0.096838","0.0038650000000000004","0.0038650000000000004","0.0038650000000000004","0.02456498146057129","0.02456498146057129","0.02456498146057129","0.0038039999999999997","0.0038039999999999997","0.0038039999999999997","0.013998031616210938","0.013998031616210938","0.013998031616210938"
"8","0.18559299999999998","0.18559299999999998","0.18559299999999998","0","0","0","0","0","0","0.182778","0.182778","0.182778","0.003378","0.003378","0.003378","0.02597188949584961","0.02597188949584961","0.02597188949584961","0.004335","0.004335","0.004335","0.01568007469177246","0.01568007469177246","0.01568007469177246"
"9","180","180","180","0","0","0","0","0","0","180","180","180","0.02","0.02","0.02","0.013413190841674805","0.013413190841674805","0.013413190841674805","0.02","0.02","0.02","0.012740373611450195","0.012740373611450195","0.012740373611450195"
