"Step","2023_11_04__123531 - hinter_latency","2023_11_04__123531 - hinter_latency__MIN","2023_11_04__123531 - hinter_latency__MAX","2023_11_04__123531 - test_query","2023_11_04__123531 - test_query__MIN","2023_11_04__123531 - test_query__MAX","2023_11_04__123531 - epoch","2023_11_04__123531 - epoch__MIN","2023_11_04__123531 - epoch__MAX","2023_11_04__123531 - pg_lateny","2023_11_04__123531 - pg_lateny__MIN","2023_11_04__123531 - pg_lateny__MAX","2023_11_04__123531 - pg_plan_time","2023_11_04__123531 - pg_plan_time__MIN","2023_11_04__123531 - pg_plan_time__MAX","2023_11_04__123531 - mcts_time","2023_11_04__123531 - mcts_time__MIN","2023_11_04__123531 - mcts_time__MAX","2023_11_04__123531 - hinter_plan_time","2023_11_04__123531 - hinter_plan_time__MIN","2023_11_04__123531 - hinter_plan_time__MAX","2023_11_04__123531 - MPHE_time","2023_11_04__123531 - MPHE_time__MIN","2023_11_04__123531 - MPHE_time__MAX"
"0","1.79892","1.79892","1.79892","0","0","0","0","0","0","1.7674320000000001","1.7674320000000001","1.7674320000000001","0.035067999999999995","0.035067999999999995","0.035067999999999995","0.47028017044067383","0.47028017044067383","0.47028017044067383","0.025436","0.025436","0.025436","0.022025346755981445","0.022025346755981445","0.022025346755981445"
"1","1.076145","1.076145","1.076145","0","0","0","0","0","0","1.111212","1.111212","1.111212","0.004283","0.004283","0.004283","0.021596431732177734","0.021596431732177734","0.021596431732177734","0.00442","0.00442","0.00442","0.009763240814208984","0.009763240814208984","0.009763240814208984"
"2","0.108528","0.108528","0.108528","0","0","0","0","0","0","0.115617","0.115617","0.115617","0.0007149999999999999","0.0007149999999999999","0.0007149999999999999","0.014256477355957031","0.014256477355957031","0.014256477355957031","0.0008349999999999999","0.0008349999999999999","0.0008349999999999999","0.007806062698364258","0.007806062698364258","0.007806062698364258"
"3","0.859262","0.859262","0.859262","0","0","0","0","0","0","0.7665850000000001","0.7665850000000001","0.7665850000000001","0.009685000000000001","0.009685000000000001","0.009685000000000001","0.02296733856201172","0.02296733856201172","0.02296733856201172","0.009762999999999999","0.009762999999999999","0.009762999999999999","0.02179431915283203","0.02179431915283203","0.02179431915283203"
"4","0.168339","0.168339","0.168339","0","0","0","0","0","0","0.148324","0.148324","0.148324","0.0009130000000000001","0.0009130000000000001","0.0009130000000000001","0.013544797897338867","0.013544797897338867","0.013544797897338867","0.000903","0.000903","0.000903","0.009057044982910156","0.009057044982910156","0.009057044982910156"
"5","0.304013","0.304013","0.304013","0","0","0","0","0","0","0.32754","0.32754","0.32754","0.005469","0.005469","0.005469","0.01812291145324707","0.01812291145324707","0.01812291145324707","0.004368","0.004368","0.004368","0.011424064636230469","0.011424064636230469","0.011424064636230469"
"6","9.576303","9.576303","9.576303","0","0","0","0","0","0","9.327290000000001","9.327290000000001","9.327290000000001","0.002613","0.002613","0.002613","0.013048410415649414","0.013048410415649414","0.013048410415649414","0.002535","0.002535","0.002535","0.010708093643188477","0.010708093643188477","0.010708093643188477"
"7","0.21353999999999998","0.21353999999999998","0.21353999999999998","0","0","0","0","0","0","0.216659","0.216659","0.216659","0.00698","0.00698","0.00698","0.021940231323242188","0.021940231323242188","0.021940231323242188","0.0071920000000000005","0.0071920000000000005","0.0071920000000000005","0.011400222778320312","0.011400222778320312","0.011400222778320312"
"8","1.4927460000000001","1.4927460000000001","1.4927460000000001","0","0","0","0","0","0","1.505145","1.505145","1.505145","0.004378","0.004378","0.004378","0.009768962860107422","0.009768962860107422","0.009768962860107422","0.0044340000000000004","0.0044340000000000004","0.0044340000000000004","0.008456230163574219","0.008456230163574219","0.008456230163574219"
"9","10.118748","10.118748","10.118748","0","0","0","0","0","0","9.334282","9.334282","9.334282","0.0024089999999999997","0.0024089999999999997","0.0024089999999999997","0.009214401245117188","0.009214401245117188","0.009214401245117188","0.002398","0.002398","0.002398","0.008838415145874023","0.008838415145874023","0.008838415145874023"
"10","0.06767400000000001","0.06767400000000001","0.06767400000000001","0","0","0","0","0","0","0.07112900000000001","0.07112900000000001","0.07112900000000001","0.000745","0.000745","0.000745","0.013921499252319336","0.013921499252319336","0.013921499252319336","0.000694","0.000694","0.000694","0.007414817810058594","0.007414817810058594","0.007414817810058594"
"11","0.093199","0.093199","0.093199","0","0","0","0","0","0","0.09504","0.09504","0.09504","0.0012","0.0012","0.0012","0.005359172821044922","0.005359172821044922","0.005359172821044922","0.001217","0.001217","0.001217","0.006262540817260742","0.006262540817260742","0.006262540817260742"
"12","2.03848","2.03848","2.03848","0","0","0","0","0","0","2.179303","2.179303","2.179303","0.051955","0.051955","0.051955","0.03699612617492676","0.03699612617492676","0.03699612617492676","0.051775","0.051775","0.051775","0.014698505401611328","0.014698505401611328","0.014698505401611328"
"13","0.230559","0.230559","0.230559","0","0","0","0","0","0","0.232102","0.232102","0.232102","0.000843","0.000843","0.000843","0.014673948287963867","0.014673948287963867","0.014673948287963867","0.000847","0.000847","0.000847","0.012818336486816406","0.012818336486816406","0.012818336486816406"
"14","4.521331","4.521331","4.521331","0","0","0","0","0","0","4.618357","4.618357","4.618357","0.002605","0.002605","0.002605","0.009052038192749023","0.009052038192749023","0.009052038192749023","0.002406","0.002406","0.002406","0.00966954231262207","0.00966954231262207","0.00966954231262207"
