"Step","2023_11_02__082427 - hinter_latency","2023_11_02__082427 - hinter_latency__MIN","2023_11_02__082427 - hinter_latency__MAX","2023_11_02__082427 - test_query","2023_11_02__082427 - test_query__MIN","2023_11_02__082427 - test_query__MAX","2023_11_02__082427 - epoch","2023_11_02__082427 - epoch__MIN","2023_11_02__082427 - epoch__MAX","2023_11_02__082427 - pg_lateny","2023_11_02__082427 - pg_lateny__MIN","2023_11_02__082427 - pg_lateny__MAX","2023_11_02__082427 - pg_plan_time","2023_11_02__082427 - pg_plan_time__MIN","2023_11_02__082427 - pg_plan_time__MAX","2023_11_02__082427 - mcts_time","2023_11_02__082427 - mcts_time__MIN","2023_11_02__082427 - mcts_time__MAX","2023_11_02__082427 - hinter_plan_time","2023_11_02__082427 - hinter_plan_time__MIN","2023_11_02__082427 - hinter_plan_time__MAX","2023_11_02__082427 - MPHE_time","2023_11_02__082427 - MPHE_time__MIN","2023_11_02__082427 - MPHE_time__MAX"
"0","0.096205","0.096205","0.096205","0","0","0","0","0","0","0.077224","0.077224","0.077224","0.004045","0.004045","0.004045","0.3382861614227295","0.3382861614227295","0.3382861614227295","0.004056","0.004056","0.004056","0.07723617553710938","0.07723617553710938","0.07723617553710938"
"1","5.2078310000000005","5.2078310000000005","5.2078310000000005","0","0","0","0","0","0","4.776697","4.776697","4.776697","0.002475","0.002475","0.002475","0.010921001434326172","0.010921001434326172","0.010921001434326172","0.002569","0.002569","0.002569","0.01100611686706543","0.01100611686706543","0.01100611686706543"
"2","0.206245","0.206245","0.206245","0","0","0","0","0","0","0.210685","0.210685","0.210685","0.007896","0.007896","0.007896","0.021808385848999023","0.021808385848999023","0.021808385848999023","0.006005","0.006005","0.006005","0.01582789421081543","0.01582789421081543","0.01582789421081543"
"3","1.277777","1.277777","1.277777","0","0","0","0","0","0","1.278637","1.278637","1.278637","0.066125","0.066125","0.066125","0.053131103515625","0.053131103515625","0.053131103515625","0.06615900000000001","0.06615900000000001","0.06615900000000001","0.016807079315185547","0.016807079315185547","0.016807079315185547"
"4","0.080146","0.080146","0.080146","0","0","0","0","0","0","0.0974","0.0974","0.0974","0.00087","0.00087","0.00087","0.017009496688842773","0.017009496688842773","0.017009496688842773","0.000853","0.000853","0.000853","0.010117053985595703","0.010117053985595703","0.010117053985595703"
"5","0.198774","0.198774","0.198774","0","0","0","0","0","0","0.2","0.2","0.2","0.0030499999999999998","0.0030499999999999998","0.0030499999999999998","0.01909041404724121","0.01909041404724121","0.01909041404724121","0.0025830000000000002","0.0025830000000000002","0.0025830000000000002","0.012349367141723633","0.012349367141723633","0.012349367141723633"
"6","16.119729","16.119729","16.119729","0","0","0","0","0","0","16.080223","16.080223","16.080223","0.004277","0.004277","0.004277","0.011432647705078125","0.011432647705078125","0.011432647705078125","0.004293","0.004293","0.004293","0.008767127990722656","0.008767127990722656","0.008767127990722656"
"7","1.167954","1.167954","1.167954","0","0","0","0","0","0","1.1694149999999999","1.1694149999999999","1.1694149999999999","0.014233","0.014233","0.014233","0.022121191024780273","0.022121191024780273","0.022121191024780273","0.013045","0.013045","0.013045","0.010905981063842773","0.010905981063842773","0.010905981063842773"
"8","0.03438","0.03438","0.03438","0","0","0","0","0","0","0.03199","0.03199","0.03199","0.010673","0.010673","0.010673","0.03283119201660156","0.03283119201660156","0.03283119201660156","0.011299","0.011299","0.011299","0.01885533332824707","0.01885533332824707","0.01885533332824707"
"9","2.714453","2.714453","2.714453","0","0","0","0","0","0","2.689326","2.689326","2.689326","0.006645","0.006645","0.006645","0.013468742370605469","0.013468742370605469","0.013468742370605469","0.006103","0.006103","0.006103","0.011500358581542969","0.011500358581542969","0.011500358581542969"
"10","1.999955","1.999955","1.999955","0","0","0","0","0","0","2.045242","2.045242","2.045242","0.054572","0.054572","0.054572","0.037937164306640625","0.037937164306640625","0.037937164306640625","0.054793","0.054793","0.054793","0.01747608184814453","0.01747608184814453","0.01747608184814453"
"11","8.85056","8.85056","8.85056","0","0","0","0","0","0","8.724974","8.724974","8.724974","0.0024300000000000003","0.0024300000000000003","0.0024300000000000003","0.013138055801391602","0.013138055801391602","0.013138055801391602","0.002458","0.002458","0.002458","0.008977413177490234","0.008977413177490234","0.008977413177490234"
"12","0.07026","0.07026","0.07026","0","0","0","0","0","0","0.069595","0.069595","0.069595","0.000728","0.000728","0.000728","0.014477014541625977","0.014477014541625977","0.014477014541625977","0.0007019999999999999","0.0007019999999999999","0.0007019999999999999","0.006988048553466797","0.006988048553466797","0.006988048553466797"
"13","0.21653899999999998","0.21653899999999998","0.21653899999999998","0","0","0","0","0","0","0.212484","0.212484","0.212484","0.029111","0.029111","0.029111","0.03187060356140137","0.03187060356140137","0.03187060356140137","0.029585999999999998","0.029585999999999998","0.029585999999999998","0.021381616592407227","0.021381616592407227","0.021381616592407227"
"14","0.142482","0.142482","0.142482","0","0","0","0","0","0","0.14350100000000002","0.14350100000000002","0.14350100000000002","0.002211","0.002211","0.002211","0.018272876739501953","0.018272876739501953","0.018272876739501953","0.0023650000000000003","0.0023650000000000003","0.0023650000000000003","0.013465642929077148","0.013465642929077148","0.013465642929077148"
"15","0.05743","0.05743","0.05743","0","0","0","0","0","0","0.055633","0.055633","0.055633","0.063371","0.063371","0.063371","0.041680097579956055","0.041680097579956055","0.041680097579956055","0.06343800000000001","0.06343800000000001","0.06343800000000001","0.027701377868652344","0.027701377868652344","0.027701377868652344"
