"Step","2023_11_06__084701 - hinter_latency","2023_11_06__084701 - hinter_latency__MIN","2023_11_06__084701 - hinter_latency__MAX","2023_11_06__084701 - test_query","2023_11_06__084701 - test_query__MIN","2023_11_06__084701 - test_query__MAX","2023_11_06__084701 - epoch","2023_11_06__084701 - epoch__MIN","2023_11_06__084701 - epoch__MAX","2023_11_06__084701 - pg_lateny","2023_11_06__084701 - pg_lateny__MIN","2023_11_06__084701 - pg_lateny__MAX","2023_11_06__084701 - pg_plan_time","2023_11_06__084701 - pg_plan_time__MIN","2023_11_06__084701 - pg_plan_time__MAX","2023_11_06__084701 - mcts_time","2023_11_06__084701 - mcts_time__MIN","2023_11_06__084701 - mcts_time__MAX","2023_11_06__084701 - hinter_plan_time","2023_11_06__084701 - hinter_plan_time__MIN","2023_11_06__084701 - hinter_plan_time__MAX","2023_11_06__084701 - MPHE_time","2023_11_06__084701 - MPHE_time__MIN","2023_11_06__084701 - MPHE_time__MAX"
"0","0.153745","0.153745","0.153745","0","0","0","0","0","0","0.15575299999999997","0.15575299999999997","0.15575299999999997","0.003941","0.003941","0.003941","0.35190820693969727","0.35190820693969727","0.35190820693969727","0.0037949999999999998","0.0037949999999999998","0.0037949999999999998","0.07728052139282227","0.07728052139282227","0.07728052139282227"
"1","4.592728","4.592728","4.592728","0","0","0","0","0","0","4.604412999999999","4.604412999999999","4.604412999999999","0.002463","0.002463","0.002463","0.009098291397094727","0.009098291397094727","0.009098291397094727","0.002472","0.002472","0.002472","0.008984088897705078","0.008984088897705078","0.008984088897705078"
"2","0.218506","0.218506","0.218506","0","0","0","0","0","0","0.216377","0.216377","0.216377","0.007229","0.007229","0.007229","0.023372650146484375","0.023372650146484375","0.023372650146484375","0.007173","0.007173","0.007173","0.015939712524414062","0.015939712524414062","0.015939712524414062"
"3","1.2791510000000001","1.2791510000000001","1.2791510000000001","0","0","0","0","0","0","1.3936359999999999","1.3936359999999999","1.3936359999999999","0.066565","0.066565","0.066565","0.05301165580749512","0.05301165580749512","0.05301165580749512","0.06622199999999999","0.06622199999999999","0.06622199999999999","0.026537418365478516","0.026537418365478516","0.026537418365478516"
"4","7.13813","7.13813","7.13813","0","0","0","0","0","0","7.1637640000000005","7.1637640000000005","7.1637640000000005","0.002421","0.002421","0.002421","0.00906991958618164","0.00906991958618164","0.00906991958618164","0.0024500000000000004","0.0024500000000000004","0.0024500000000000004","0.01093435287475586","0.01093435287475586","0.01093435287475586"
"5","0.301456","0.301456","0.301456","0","0","0","0","0","0","0.308079","0.308079","0.308079","0.004392","0.004392","0.004392","0.018022775650024414","0.018022775650024414","0.018022775650024414","0.005378999999999999","0.005378999999999999","0.005378999999999999","0.011800765991210938","0.011800765991210938","0.011800765991210938"
"6","1.332386","1.332386","1.332386","0","0","0","0","0","0","1.308261","1.308261","1.308261","0.004333","0.004333","0.004333","0.020900726318359375","0.020900726318359375","0.020900726318359375","0.0043630000000000006","0.0043630000000000006","0.0043630000000000006","0.00966954231262207","0.00966954231262207","0.00966954231262207"
"7","0.182272","0.182272","0.182272","0","0","0","0","0","0","0.18167599999999998","0.18167599999999998","0.18167599999999998","0.005343","0.005343","0.005343","0.03193545341491699","0.03193545341491699","0.03193545341491699","0.007097","0.007097","0.007097","0.02060675621032715","0.02060675621032715","0.02060675621032715"
"8","0.132696","0.132696","0.132696","0","0","0","0","0","0","0.13655","0.13655","0.13655","0.00451","0.00451","0.00451","0.0217132568359375","0.0217132568359375","0.0217132568359375","0.004259000000000001","0.004259000000000001","0.004259000000000001","0.017095327377319336","0.017095327377319336","0.017095327377319336"
"9","2.832876","2.832876","2.832876","0","0","0","0","0","0","2.630022","2.630022","2.630022","0.006687","0.006687","0.006687","0.013717174530029297","0.013717174530029297","0.013717174530029297","0.0060279999999999995","0.0060279999999999995","0.0060279999999999995","0.012070417404174805","0.012070417404174805","0.012070417404174805"
"10","0.39125099999999996","0.39125099999999996","0.39125099999999996","0","0","0","0","0","0","0.38689","0.38689","0.38689","0.008499000000000001","0.008499000000000001","0.008499000000000001","0.018207311630249023","0.018207311630249023","0.018207311630249023","0.009227","0.009227","0.009227","0.01659703254699707","0.01659703254699707","0.01659703254699707"
"11","4.674308","4.674308","4.674308","0","0","0","0","0","0","4.658533","4.658533","4.658533","0.002491","0.002491","0.002491","0.010246038436889648","0.010246038436889648","0.010246038436889648","0.002489","0.002489","0.002489","0.010283946990966797","0.010283946990966797","0.010283946990966797"
"12","1.8056459999999999","1.8056459999999999","1.8056459999999999","0","0","0","0","0","0","1.807857","1.807857","1.807857","0.06691899999999999","0.06691899999999999","0.06691899999999999","0.054244041442871094","0.054244041442871094","0.054244041442871094","0.066803","0.066803","0.066803","0.0262298583984375","0.0262298583984375","0.0262298583984375"
"13","0.6505449999999999","0.6505449999999999","0.6505449999999999","0","0","0","0","0","0","0.660241","0.660241","0.660241","0.026425","0.026425","0.026425","0.03709530830383301","0.03709530830383301","0.03709530830383301","0.025649","0.025649","0.025649","0.02277088165283203","0.02277088165283203","0.02277088165283203"
"14","0.20547200000000002","0.20547200000000002","0.20547200000000002","0","0","0","0","0","0","0.205151","0.205151","0.205151","0.000714","0.000714","0.000714","0.014127731323242188","0.014127731323242188","0.014127731323242188","0.000759","0.000759","0.000759","0.006933450698852539","0.006933450698852539","0.006933450698852539"
"15","0.521847","0.521847","0.521847","0","0","0","0","0","0","0.5221180000000001","0.5221180000000001","0.5221180000000001","0.000893","0.000893","0.000893","0.00922703742980957","0.00922703742980957","0.00922703742980957","0.0008990000000000001","0.0008990000000000001","0.0008990000000000001","0.009896278381347656","0.009896278381347656","0.009896278381347656"
"16","0.40010399999999996","0.40010399999999996","0.40010399999999996","0","0","0","0","0","0","0.406864","0.406864","0.406864","0.000896","0.000896","0.000896","0.009796619415283203","0.009796619415283203","0.009796619415283203","0.000903","0.000903","0.000903","0.00646662712097168","0.00646662712097168","0.00646662712097168"
"17","0.10026","0.10026","0.10026","0","0","0","0","0","0","0.102604","0.102604","0.102604","0.000717","0.000717","0.000717","0.013289690017700195","0.013289690017700195","0.013289690017700195","0.0006969999999999999","0.0006969999999999999","0.0006969999999999999","0.006543159484863281","0.006543159484863281","0.006543159484863281"
"18","0.060832000000000004","0.060832000000000004","0.060832000000000004","0","0","0","0","0","0","0.060738","0.060738","0.060738","0.008426","0.008426","0.008426","0.03476572036743164","0.03476572036743164","0.03476572036743164","0.00821","0.00821","0.00821","0.018868684768676758","0.018868684768676758","0.018868684768676758"
"19","0.071301","0.071301","0.071301","0","0","0","0","0","0","0.07370499999999999","0.07370499999999999","0.07370499999999999","0.000864","0.000864","0.000864","0.016041040420532227","0.016041040420532227","0.016041040420532227","0.00088","0.00088","0.00088","0.007014274597167969","0.007014274597167969","0.007014274597167969"
"20","0.211399","0.211399","0.211399","0","0","0","0","0","0","0.215528","0.215528","0.215528","0.008146","0.008146","0.008146","0.029628992080688477","0.029628992080688477","0.029628992080688477","0.008232","0.008232","0.008232","0.010551214218139648","0.010551214218139648","0.010551214218139648"
"21","0.099736","0.099736","0.099736","0","0","0","0","0","0","0.101409","0.101409","0.101409","0.00087","0.00087","0.00087","0.01648235321044922","0.01648235321044922","0.01648235321044922","0.0008629999999999999","0.0008629999999999999","0.0008629999999999999","0.007067203521728516","0.007067203521728516","0.007067203521728516"
"22","0.120563","0.120563","0.120563","0","0","0","0","0","0","0.126023","0.126023","0.126023","0.003628","0.003628","0.003628","0.020991086959838867","0.020991086959838867","0.020991086959838867","0.003662","0.003662","0.003662","0.01107335090637207","0.01107335090637207","0.01107335090637207"
"23","13.224349","13.224349","13.224349","0","0","0","0","0","0","0.144057","0.144057","0.144057","0.016503","0.016503","0.016503","0.030054092407226562","0.030054092407226562","0.030054092407226562","0.011998","0.011998","0.011998","0.012114524841308594","0.012114524841308594","0.012114524841308594"
"24","0.331807","0.331807","0.331807","0","0","0","0","0","0","0.327595","0.327595","0.327595","0.025462","0.025462","0.025462","0.04160141944885254","0.04160141944885254","0.04160141944885254","0.02547","0.02547","0.02547","0.02227020263671875","0.02227020263671875","0.02227020263671875"
"25","8.841808","8.841808","8.841808","0","0","0","0","0","0","8.866468000000001","8.866468000000001","8.866468000000001","0.00242","0.00242","0.00242","0.010854005813598633","0.010854005813598633","0.010854005813598633","0.0024289999999999997","0.0024289999999999997","0.0024289999999999997","0.009979009628295898","0.009979009628295898","0.009979009628295898"
"26","0.121867","0.121867","0.121867","0","0","0","0","0","0","0.128778","0.128778","0.128778","0.001264","0.001264","0.001264","0.02196359634399414","0.02196359634399414","0.02196359634399414","0.000986","0.000986","0.000986","0.011672019958496094","0.011672019958496094","0.011672019958496094"
"27","0.150976","0.150976","0.150976","0","0","0","0","0","0","0.14063399999999998","0.14063399999999998","0.14063399999999998","0.003747","0.003747","0.003747","0.029467105865478516","0.029467105865478516","0.029467105865478516","0.003827","0.003827","0.003827","0.015613794326782227","0.015613794326782227","0.015613794326782227"
"28","0.012452","0.012452","0.012452","0","0","0","0","0","0","0.014538","0.014538","0.014538","0.000825","0.000825","0.000825","0.014991998672485352","0.014991998672485352","0.014991998672485352","0.0007700000000000001","0.0007700000000000001","0.0007700000000000001","0.010891437530517578","0.010891437530517578","0.010891437530517578"
"29","0.12195099999999999","0.12195099999999999","0.12195099999999999","0","0","0","0","0","0","0.12157899999999999","0.12157899999999999","0.12157899999999999","0.034469","0.034469","0.034469","0.0507206916809082","0.0507206916809082","0.0507206916809082","0.034613","0.034613","0.034613","0.1337881088256836","0.1337881088256836","0.1337881088256836"
"30","3.3300880000000004","3.3300880000000004","3.3300880000000004","0","0","0","0","0","0","3.0980540000000003","3.0980540000000003","3.0980540000000003","0.007233","0.007233","0.007233","0.02299642562866211","0.02299642562866211","0.02299642562866211","0.006639","0.006639","0.006639","0.012663602828979492","0.012663602828979492","0.012663602828979492"
"31","0.7486970000000001","0.7486970000000001","0.7486970000000001","0","0","0","0","0","0","0.750894","0.750894","0.750894","0.006182","0.006182","0.006182","0.016889572143554688","0.016889572143554688","0.016889572143554688","0.0061719999999999995","0.0061719999999999995","0.0061719999999999995","0.012160539627075195","0.012160539627075195","0.012160539627075195"
"32","0.012506","0.012506","0.012506","0","0","0","0","0","0","0.012268000000000001","0.012268000000000001","0.012268000000000001","0.0545","0.0545","0.0545","0.055225372314453125","0.055225372314453125","0.055225372314453125","0.054952","0.054952","0.054952","0.026478290557861328","0.026478290557861328","0.026478290557861328"
"33","1.992308","1.992308","1.992308","0","0","0","0","0","0","2.07975","2.07975","2.07975","0.011003","0.011003","0.011003","0.03365373611450195","0.03365373611450195","0.03365373611450195","0.008112999999999999","0.008112999999999999","0.008112999999999999","0.01210331916809082","0.01210331916809082","0.01210331916809082"
"34","0.6320399999999999","0.6320399999999999","0.6320399999999999","0","0","0","0","0","0","0.562794","0.562794","0.562794","0.009378000000000001","0.009378000000000001","0.009378000000000001","0.03129935264587402","0.03129935264587402","0.03129935264587402","0.010404","0.010404","0.010404","0.010282039642333984","0.010282039642333984","0.010282039642333984"
"35","0.545493","0.545493","0.545493","0","0","0","0","0","0","0.54138","0.54138","0.54138","0.003857","0.003857","0.003857","0.032114267349243164","0.032114267349243164","0.032114267349243164","0.003882","0.003882","0.003882","0.01857447624206543","0.01857447624206543","0.01857447624206543"
"36","0.102176","0.102176","0.102176","0","0","0","0","0","0","0.129722","0.129722","0.129722","0.0008219999999999999","0.0008219999999999999","0.0008219999999999999","0.018198490142822266","0.018198490142822266","0.018198490142822266","0.000823","0.000823","0.000823","0.011002063751220703","0.011002063751220703","0.011002063751220703"
"37","4.584807","4.584807","4.584807","0","0","0","0","0","0","4.366609","4.366609","4.366609","0.00264","0.00264","0.00264","0.008671283721923828","0.008671283721923828","0.008671283721923828","0.002527","0.002527","0.002527","0.0088653564453125","0.0088653564453125","0.0088653564453125"
"38","0.011651","0.011651","0.011651","0","0","0","0","0","0","0.011963","0.011963","0.011963","0.0007740000000000001","0.0007740000000000001","0.0007740000000000001","0.01398921012878418","0.01398921012878418","0.01398921012878418","0.000763","0.000763","0.000763","0.009496450424194336","0.009496450424194336","0.009496450424194336"
"39","0.068548","0.068548","0.068548","0","0","0","0","0","0","0.06788","0.06788","0.06788","0.000796","0.000796","0.000796","0.01891326904296875","0.01891326904296875","0.01891326904296875","0.000791","0.000791","0.000791","0.010184288024902344","0.010184288024902344","0.010184288024902344"
"40","0.008053000000000001","0.008053000000000001","0.008053000000000001","0","0","0","0","0","0","0.008141","0.008141","0.008141","0.001001","0.001001","0.001001","0.005228281021118164","0.005228281021118164","0.005228281021118164","0.001009","0.001009","0.001009","0.006232261657714844","0.006232261657714844","0.006232261657714844"
"41","0.430099","0.430099","0.430099","0","0","0","0","0","0","0.457063","0.457063","0.457063","0.024983","0.024983","0.024983","0.03465986251831055","0.03465986251831055","0.03465986251831055","0.023536","0.023536","0.023536","0.023026466369628906","0.023026466369628906","0.023026466369628906"
"42","0.221358","0.221358","0.221358","0","0","0","0","0","0","0.22180699999999998","0.22180699999999998","0.22180699999999998","0.010216","0.010216","0.010216","0.025257587432861328","0.025257587432861328","0.025257587432861328","0.008544000000000001","0.008544000000000001","0.008544000000000001","0.014667510986328125","0.014667510986328125","0.014667510986328125"
"43","0.205681","0.205681","0.205681","0","0","0","0","0","0","0.211209","0.211209","0.211209","0.002693","0.002693","0.002693","0.018839359283447266","0.018839359283447266","0.018839359283447266","0.004009","0.004009","0.004009","0.012628793716430664","0.012628793716430664","0.012628793716430664"
"44","0.143447","0.143447","0.143447","0","0","0","0","0","0","0.14538900000000002","0.14538900000000002","0.14538900000000002","0.000924","0.000924","0.000924","0.014006853103637695","0.014006853103637695","0.014006853103637695","0.000919","0.000919","0.000919","0.008288145065307617","0.008288145065307617","0.008288145065307617"
"45","0.413998","0.413998","0.413998","0","0","0","0","0","0","0.432328","0.432328","0.432328","0.003415","0.003415","0.003415","0.027472972869873047","0.027472972869873047","0.027472972869873047","0.003403","0.003403","0.003403","0.014121294021606445","0.014121294021606445","0.014121294021606445"
"46","1.090319","1.090319","1.090319","0","0","0","0","0","0","1.112765","1.112765","1.112765","0.066372","0.066372","0.066372","0.06272697448730469","0.06272697448730469","0.06272697448730469","0.066429","0.066429","0.066429","0.031195640563964844","0.031195640563964844","0.031195640563964844"
"47","0.07574299999999999","0.07574299999999999","0.07574299999999999","0","0","0","0","0","0","0.07616500000000001","0.07616500000000001","0.07616500000000001","0.000829","0.000829","0.000829","0.017702579498291016","0.017702579498291016","0.017702579498291016","0.0008060000000000001","0.0008060000000000001","0.0008060000000000001","0.0074350833892822266","0.0074350833892822266","0.0074350833892822266"
"48","0.039217","0.039217","0.039217","0","0","0","0","0","0","0.03921","0.03921","0.03921","0.023498","0.023498","0.023498","0.03637576103210449","0.03637576103210449","0.03637576103210449","0.02345","0.02345","0.02345","0.022485017776489258","0.022485017776489258","0.022485017776489258"
"49","0.221968","0.221968","0.221968","0","0","0","0","0","0","0.219529","0.219529","0.219529","0.019266","0.019266","0.019266","0.03189349174499512","0.03189349174499512","0.03189349174499512","0.022532","0.022532","0.022532","0.02242732048034668","0.02242732048034668","0.02242732048034668"
"50","0.415863","0.415863","0.415863","0","0","0","0","0","0","0.41522899999999996","0.41522899999999996","0.41522899999999996","0.000986","0.000986","0.000986","0.009807348251342773","0.009807348251342773","0.009807348251342773","0.000915","0.000915","0.000915","0.007811069488525391","0.007811069488525391","0.007811069488525391"
"51","0.18922999999999998","0.18922999999999998","0.18922999999999998","0","0","0","0","0","0","0.19016","0.19016","0.19016","0.00357","0.00357","0.00357","0.027249813079833984","0.027249813079833984","0.027249813079833984","0.003478","0.003478","0.003478","0.015721797943115234","0.015721797943115234","0.015721797943115234"
"52","66.96073600000001","66.96073600000001","66.96073600000001","0","0","0","0","0","0","4.877461","4.877461","4.877461","0.024428000000000002","0.024428000000000002","0.024428000000000002","0.03386712074279785","0.03386712074279785","0.03386712074279785","0.008375","0.008375","0.008375","0.013665199279785156","0.013665199279785156","0.013665199279785156"
"53","2.820014","2.820014","2.820014","0","0","0","0","0","0","2.758246","2.758246","2.758246","0.003473","0.003473","0.003473","0.008832216262817383","0.008832216262817383","0.008832216262817383","0.00394","0.00394","0.00394","0.009027957916259766","0.009027957916259766","0.009027957916259766"
"54","0.092656","0.092656","0.092656","0","0","0","0","0","0","0.102493","0.102493","0.102493","0.000844","0.000844","0.000844","0.018500804901123047","0.018500804901123047","0.018500804901123047","0.00086","0.00086","0.00086","0.008631467819213867","0.008631467819213867","0.008631467819213867"
"55","0.21277000000000001","0.21277000000000001","0.21277000000000001","0","0","0","0","0","0","0.210071","0.210071","0.210071","0.0264","0.0264","0.0264","0.03293013572692871","0.03293013572692871","0.03293013572692871","0.029734000000000003","0.029734000000000003","0.029734000000000003","0.024631261825561523","0.024631261825561523","0.024631261825561523"
"56","8.761321","8.761321","8.761321","0","0","0","0","0","0","8.647283","8.647283","8.647283","0.002447","0.002447","0.002447","0.013067960739135742","0.013067960739135742","0.013067960739135742","0.0025870000000000003","0.0025870000000000003","0.0025870000000000003","0.012755632400512695","0.012755632400512695","0.012755632400512695"
