"Step","2023_11_05__074311 - hinter_latency","2023_11_05__074311 - hinter_latency__MIN","2023_11_05__074311 - hinter_latency__MAX","2023_11_05__074311 - test_query","2023_11_05__074311 - test_query__MIN","2023_11_05__074311 - test_query__MAX","2023_11_05__074311 - epoch","2023_11_05__074311 - epoch__MIN","2023_11_05__074311 - epoch__MAX","2023_11_05__074311 - pg_lateny","2023_11_05__074311 - pg_lateny__MIN","2023_11_05__074311 - pg_lateny__MAX","2023_11_05__074311 - pg_plan_time","2023_11_05__074311 - pg_plan_time__MIN","2023_11_05__074311 - pg_plan_time__MAX","2023_11_05__074311 - mcts_time","2023_11_05__074311 - mcts_time__MIN","2023_11_05__074311 - mcts_time__MAX","2023_11_05__074311 - hinter_plan_time","2023_11_05__074311 - hinter_plan_time__MIN","2023_11_05__074311 - hinter_plan_time__MAX","2023_11_05__074311 - MPHE_time","2023_11_05__074311 - MPHE_time__MIN","2023_11_05__074311 - MPHE_time__MAX"
"0","0.098703","0.098703","0.098703","0","0","0","0","0","0","0.077014","0.077014","0.077014","0.003801","0.003801","0.003801","0.3046233654022217","0.3046233654022217","0.3046233654022217","0.0037530000000000003","0.0037530000000000003","0.0037530000000000003","0.06609892845153809","0.06609892845153809","0.06609892845153809"
"1","4.573424","4.573424","4.573424","0","0","0","0","0","0","4.639677","4.639677","4.639677","0.002417","0.002417","0.002417","0.008783340454101562","0.008783340454101562","0.008783340454101562","0.0024","0.0024","0.0024","0.008371591567993164","0.008371591567993164","0.008371591567993164"
"2","0.193608","0.193608","0.193608","0","0","0","0","0","0","0.194024","0.194024","0.194024","0.00763","0.00763","0.00763","0.023278236389160156","0.023278236389160156","0.023278236389160156","0.007626","0.007626","0.007626","0.016295194625854492","0.016295194625854492","0.016295194625854492"
"3","0.023226","0.023226","0.023226","0","0","0","0","0","0","0.023001","0.023001","0.023001","0.087362","0.087362","0.087362","0.061422109603881836","0.061422109603881836","0.061422109603881836","0.086911","0.086911","0.086911","0.028889894485473633","0.028889894485473633","0.028889894485473633"
"4","0.158106","0.158106","0.158106","0","0","0","0","0","0","0.16642500000000002","0.16642500000000002","0.16642500000000002","0.001194","0.001194","0.001194","0.0167999267578125","0.0167999267578125","0.0167999267578125","0.001002","0.001002","0.001002","0.008272171020507812","0.008272171020507812","0.008272171020507812"
"5","0.259393","0.259393","0.259393","0","0","0","0","0","0","0.262159","0.262159","0.262159","0.004228","0.004228","0.004228","0.017445087432861328","0.017445087432861328","0.017445087432861328","0.00431","0.00431","0.00431","0.011474132537841797","0.011474132537841797","0.011474132537841797"
"6","0.454163","0.454163","0.454163","0","0","0","0","0","0","0.452319","0.452319","0.452319","0.009257","0.009257","0.009257","0.0262906551361084","0.0262906551361084","0.0262906551361084","0.009283","0.009283","0.009283","0.01725006103515625","0.01725006103515625","0.01725006103515625"
"7","1.159585","1.159585","1.159585","0","0","0","0","0","0","1.185202","1.185202","1.185202","0.012311","0.012311","0.012311","0.022538185119628906","0.022538185119628906","0.022538185119628906","0.01358","0.01358","0.01358","0.013524293899536133","0.013524293899536133","0.013524293899536133"
"8","0.030564","0.030564","0.030564","0","0","0","0","0","0","0.0395","0.0395","0.0395","0.009146000000000001","0.009146000000000001","0.009146000000000001","0.0312807559967041","0.0312807559967041","0.0312807559967041","0.00871","0.00871","0.00871","0.01635599136352539","0.01635599136352539","0.01635599136352539"
"9","8.476873","8.476873","8.476873","0","0","0","0","0","0","8.509305","8.509305","8.509305","0.002435","0.002435","0.002435","0.010080337524414062","0.010080337524414062","0.010080337524414062","0.002385","0.002385","0.002385","0.008532047271728516","0.008532047271728516","0.008532047271728516"
