"Step","2023_11_02__082726 - hinter_latency","2023_11_02__082726 - hinter_latency__MIN","2023_11_02__082726 - hinter_latency__MAX","2023_11_02__082726 - test_query","2023_11_02__082726 - test_query__MIN","2023_11_02__082726 - test_query__MAX","2023_11_02__082726 - epoch","2023_11_02__082726 - epoch__MIN","2023_11_02__082726 - epoch__MAX","2023_11_02__082726 - pg_lateny","2023_11_02__082726 - pg_lateny__MIN","2023_11_02__082726 - pg_lateny__MAX","2023_11_02__082726 - pg_plan_time","2023_11_02__082726 - pg_plan_time__MIN","2023_11_02__082726 - pg_plan_time__MAX","2023_11_02__082726 - mcts_time","2023_11_02__082726 - mcts_time__MIN","2023_11_02__082726 - mcts_time__MAX","2023_11_02__082726 - hinter_plan_time","2023_11_02__082726 - hinter_plan_time__MIN","2023_11_02__082726 - hinter_plan_time__MAX","2023_11_02__082726 - MPHE_time","2023_11_02__082726 - MPHE_time__MIN","2023_11_02__082726 - MPHE_time__MAX"
"0","0.138354","0.138354","0.138354","0","0","0","0","0","0","0.140036","0.140036","0.140036","0.003564","0.003564","0.003564","0.340090274810791","0.340090274810791","0.340090274810791","0.0035299999999999997","0.0035299999999999997","0.0035299999999999997","0.0710747241973877","0.0710747241973877","0.0710747241973877"
"1","15.714367","15.714367","15.714367","0","0","0","0","0","0","15.937341","15.937341","15.937341","0.004373","0.004373","0.004373","0.0091400146484375","0.0091400146484375","0.0091400146484375","0.004218","0.004218","0.004218","0.00946044921875","0.00946044921875","0.00946044921875"
"2","0.189785","0.189785","0.189785","0","0","0","0","0","0","0.19059299999999998","0.19059299999999998","0.19059299999999998","0.006542","0.006542","0.006542","0.022568941116333008","0.022568941116333008","0.022568941116333008","0.005358","0.005358","0.005358","0.01519155502319336","0.01519155502319336","0.01519155502319336"
"3","1.3909880000000001","1.3909880000000001","1.3909880000000001","0","0","0","0","0","0","1.481831","1.481831","1.481831","0.051948999999999995","0.051948999999999995","0.051948999999999995","0.027508020401000977","0.027508020401000977","0.027508020401000977","0.052135","0.052135","0.052135","0.016062498092651367","0.016062498092651367","0.016062498092651367"
"4","0.057004","0.057004","0.057004","0","0","0","0","0","0","0.060695","0.060695","0.060695","0.000657","0.000657","0.000657","0.01467752456665039","0.01467752456665039","0.01467752456665039","0.000627","0.000627","0.000627","0.006727457046508789","0.006727457046508789","0.006727457046508789"
"5","0.266971","0.266971","0.266971","0","0","0","0","0","0","0.263928","0.263928","0.263928","0.0043879999999999995","0.0043879999999999995","0.0043879999999999995","0.01716017723083496","0.01716017723083496","0.01716017723083496","0.004353","0.004353","0.004353","0.01265573501586914","0.01265573501586914","0.01265573501586914"
"6","0.387806","0.387806","0.387806","0","0","0","0","0","0","0.39320499999999997","0.39320499999999997","0.39320499999999997","0.003353","0.003353","0.003353","0.027949094772338867","0.027949094772338867","0.027949094772338867","0.0033410000000000002","0.0033410000000000002","0.0033410000000000002","0.017749309539794922","0.017749309539794922","0.017749309539794922"
"7","0.100961","0.100961","0.100961","0","0","0","0","0","0","0.099938","0.099938","0.099938","0.003776","0.003776","0.003776","0.028030872344970703","0.028030872344970703","0.028030872344970703","0.0038050000000000002","0.0038050000000000002","0.0038050000000000002","0.0168914794921875","0.0168914794921875","0.0168914794921875"
"8","0.19063","0.19063","0.19063","0","0","0","0","0","0","0.183078","0.183078","0.183078","0.003424","0.003424","0.003424","0.02750563621520996","0.02750563621520996","0.02750563621520996","0.003385","0.003385","0.003385","0.01825737953186035","0.01825737953186035","0.01825737953186035"
"9","8.532557","8.532557","8.532557","0","0","0","0","0","0","8.48291","8.48291","8.48291","0.002405","0.002405","0.002405","0.01280355453491211","0.01280355453491211","0.01280355453491211","0.0024129999999999998","0.0024129999999999998","0.0024129999999999998","0.00914621353149414","0.00914621353149414","0.00914621353149414"
