x, 16, 0, 2023-07-18 10:04:49.956496, queries/job__random_split_2/train/17d.sql, 6.949, 5835.734, PG
x, 16, 1, 2023-07-18 10:04:55.999582, queries/job__random_split_2/train/17d.sql, 7.205, 6020.688, PG
x, 16, 2, 2023-07-18 10:05:07.782978, queries/job__random_split_2/train/17d.sql, 173.601, 5490.338, PG
x, 17, 0, 2023-07-18 10:05:09.150780, queries/job__random_split_2/train/28a.sql, 79.018, 1273.107, PG
x, 17, 1, 2023-07-18 10:05:10.540284, queries/job__random_split_2/train/28a.sql, 76.986, 1295.047, PG
x, 17, 2, 2023-07-18 10:05:13.939796, queries/job__random_split_2/train/28a.sql, 233.815, 1061.522, PG
x, 18, 0, 2023-07-18 10:05:14.331669, queries/job__random_split_2/train/3c.sql, 4.05, 373.505, PG
x, 18, 1, 2023-07-18 10:05:14.701285, queries/job__random_split_2/train/3c.sql, 3.722, 351.946, PG
x, 18, 2, 2023-07-18 10:05:16.021615, queries/job__random_split_2/train/3c.sql, 175.27, 249.342, PG
x, 19, 0, 2023-07-18 10:05:16.383699, queries/job__random_split_2/train/10b.sql, 6.627, 338.875, PG
x, 19, 1, 2023-07-18 10:05:16.736822, queries/job__random_split_2/train/10b.sql, 7.229, 330.447, PG
x, 19, 2, 2023-07-18 10:05:18.093899, queries/job__random_split_2/train/10b.sql, 176.53, 329.443, PG
x, 20, 0, 2023-07-18 10:05:18.478781, queries/job__random_split_2/train/3c.sql, 4.707, 364.443, PG
x, 20, 1, 2023-07-18 10:05:18.871305, queries/job__random_split_2/train/3c.sql, 3.938, 372.773, PG
x, 20, 2, 2023-07-18 10:05:20.151320, queries/job__random_split_2/train/3c.sql, 164.523, 236.824, PG
x, 21, 0, 2023-07-18 10:05:20.658501, queries/job__random_split_2/train/30b.sql, 63.107, 428.353, PG
x, 21, 1, 2023-07-18 10:05:21.153714, queries/job__random_split_2/train/30b.sql, 63.71, 415.38, PG
x, 21, 2, 2023-07-18 10:05:22.978902, queries/job__random_split_2/train/30b.sql, 224.101, 353.52, PG
x, 22, 0, 2023-07-18 10:05:23.101633, queries/job__random_split_2/train/1c.sql, 2.926, 109.171, PG
x, 22, 1, 2023-07-18 10:05:23.213283, queries/job__random_split_2/train/1c.sql, 2.29, 96.676, PG
x, 22, 2, 2023-07-18 10:05:24.149866, queries/job__random_split_2/train/1c.sql, 165.406, 135.68, PG
x, 23, 0, 2023-07-18 10:05:24.911336, queries/job__random_split_2/train/15c.sql, 14.487, 736.794, PG
x, 23, 1, 2023-07-18 10:05:25.671128, queries/job__random_split_2/train/15c.sql, 16.54, 731.299, PG
x, 23, 2, 2023-07-18 10:05:27.863751, queries/job__random_split_2/train/15c.sql, 187.025, 576.042, PG
x, 24, 0, 2023-07-18 10:05:28.287480, queries/job__random_split_2/train/9a.sql, 9.396, 399.487, PG
x, 24, 1, 2023-07-18 10:05:28.686654, queries/job__random_split_2/train/9a.sql, 10.264, 372.705, PG
x, 24, 2, 2023-07-18 10:05:30.199975, queries/job__random_split_2/train/9a.sql, 175.078, 362.476, PG
0, 0, 0, 2023-07-18 10:05:33.980859, queries/job__random_split_2/train/1c.sql, 245.491, 109.526, Bao
0, 0, 1, 2023-07-18 10:05:34.683331, queries/job__random_split_2/train/1c.sql, 208.081, 119.246, Bao
0, 0, 2, 2023-07-18 10:05:35.662817, queries/job__random_split_2/train/1c.sql, 180.717, 131.922, Bao
0, 1, 0, 2023-07-18 10:05:37.182338, queries/job__random_split_2/train/13b.sql, 260.115, 839.76, Bao
