x, 0, 0, 2023-11-13 08:45:04.737709, queries/stack__random_split_1/train/q4__q4-002.sql, 19.478, 168.832, PG
x, 0, 1, 2023-11-13 08:45:04.866264, queries/stack__random_split_1/train/q4__q4-002.sql, 18.25, 95.181, PG
x, 0, 2, 2023-11-13 08:45:07.156220, queries/stack__random_split_1/train/q4__q4-002.sql, 476.609, 55.939, PG
x, 1, 0, 2023-11-13 08:45:07.908859, queries/stack__random_split_1/train/q11__87c4bd0930b02a3361ac2e86c453db1fec60dc6b.sql, 5.336, 731.844, PG
x, 1, 1, 2023-11-13 08:45:08.465956, queries/stack__random_split_1/train/q11__87c4bd0930b02a3361ac2e86c453db1fec60dc6b.sql, 5.913, 537.25, PG
x, 1, 2, 2023-11-13 08:45:11.129783, queries/stack__random_split_1/train/q11__87c4bd0930b02a3361ac2e86c453db1fec60dc6b.sql, 459.959, 271.494, PG
x, 2, 0, 2023-11-13 08:45:11.615140, queries/stack__random_split_1/train/q14__719e692d411868ae7a93909757872d264f6bbf73.sql, 48.931, 420.227, PG
x, 2, 1, 2023-11-13 08:45:12.135261, queries/stack__random_split_1/train/q14__719e692d411868ae7a93909757872d264f6bbf73.sql, 48.249, 456.107, PG
x, 2, 2, 2023-11-13 08:45:14.923302, queries/stack__random_split_1/train/q14__719e692d411868ae7a93909757872d264f6bbf73.sql, 504.714, 339.278, PG
x, 3, 0, 2023-11-13 08:45:15.190132, queries/stack__random_split_1/train/q13__d383cd5b4aee7d3f73508e2a1fe5f6d0f7dd42a2.sql, 83.575, 170.865, PG
x, 3, 1, 2023-11-13 08:45:15.415633, queries/stack__random_split_1/train/q13__d383cd5b4aee7d3f73508e2a1fe5f6d0f7dd42a2.sql, 82.435, 127.644, PG
x, 3, 2, 2023-11-13 08:45:17.877696, queries/stack__random_split_1/train/q13__d383cd5b4aee7d3f73508e2a1fe5f6d0f7dd42a2.sql, 530.609, 79.78, PG
x, 4, 0, 2023-11-13 08:45:17.945195, queries/stack__random_split_1/train/q5__q5-077.sql, 18.653, 32.859, PG
x, 4, 1, 2023-11-13 08:45:17.997860, queries/stack__random_split_1/train/q5__q5-077.sql, 14.71, 29.215, PG
x, 4, 2, 2023-11-13 08:45:20.081290, queries/stack__random_split_1/train/q5__q5-077.sql, 508.484, 21.33, PG
x, 5, 0, 2023-11-13 08:45:20.233401, queries/stack__random_split_1/train/q4__q4-086.sql, 18.171, 118.954, PG
x, 5, 1, 2023-11-13 08:45:20.366086, queries/stack__random_split_1/train/q4__q4-086.sql, 17.231, 101.171, PG
x, 5, 2, 2023-11-13 08:45:22.505488, queries/stack__random_split_1/train/q4__q4-086.sql, 476.317, 74.822, PG
x, 6, 0, 2023-11-13 08:45:23.532194, queries/stack__random_split_1/train/q7__q7-085.sql, 2.867, 1008.344, PG
x, 6, 1, 2023-11-13 08:45:24.473149, queries/stack__random_split_1/train/q7__q7-085.sql, 3.866, 921.043, PG
x, 6, 2, 2023-11-13 08:45:28.152552, queries/stack__random_split_1/train/q7__q7-085.sql, 464.782, 863.295, PG
x, 7, 0, 2023-11-13 08:45:28.338880, queries/stack__random_split_1/train/q12__0700720596313f7fa30c0dd3d4a3001c896ba760.sql, 15.034, 160.25, PG
x, 7, 1, 2023-11-13 08:45:28.500752, queries/stack__random_split_1/train/q12__0700720596313f7fa30c0dd3d4a3001c896ba760.sql, 15.248, 132.163, PG
x, 7, 2, 2023-11-13 08:45:30.717404, queries/stack__random_split_1/train/q12__0700720596313f7fa30c0dd3d4a3001c896ba760.sql, 467.389, 132.575, PG
x, 8, 0, 2023-11-13 08:45:34.496557, queries/stack__random_split_1/train/q1__q1-098.sql, 2.89, 3766.714, PG
x, 8, 1, 2023-11-13 08:45:37.469512, queries/stack__random_split_1/train/q1__q1-098.sql, 4.929, 2954.272, PG
