query_ident;split;inference_time;planning_time;execution_time
1a;train;13.280990362167358;0.453;4.596
1b;train;15.520772218704224;0.684;0.454
1c;train;12.072114944458008;0.522;165.549
1d;train;13.883539199829102;0.604;0.186
3a;train;13.166557788848877;0.375;91.398
3b;train;13.88858413696289;1.254;392.555
3c;train;13.359714269638062;0.391;187.244
4a;train;13.911725521087646;0.505;1147.594
4b;train;13.74633526802063;0.466;57.62
4c;train;14.364553689956665;0.499;1940.488
5a;train;20.7747323513031;0.567;104.083
5b;train;19.39291000366211;0.609;3658.572
5c;train;22.794668674468994;0.609;6515.298
6a;train;16.469677925109863;1.45;5661.964
6b;train;16.122451543807983;0.633;130.656
6c;train;16.19236946105957;0.513;174.354
6d;train;15.8244149684906;0.516;1687.503
6e;train;16.700769186019897;0.477;844.318
6f;train;19.55578303337097;1.637;183042.448
8a;train;92.49274039268494;4.003;667.729
8b;train;82.65984272956848;1.775;86.603
8c;train;67.71516346931458;0.959;9303.49
8d;train;71.84307169914246;0.962;10184.264
9a;train;199.57291960716248;2.917;170.969
9b;train;195.9816038608551;2.904;168.564
9c;train;215.45718145370483;2.955;365.474
9d;train;211.83913850784302;5.681;1929.406
10a;train;80.08800768852234;1.799;275.08
10b;train;81.30237293243408;1.361;185.744
10c;train;82.45755124092102;0.817;1887.991
11a;train;88.9011402130127;1.767;56.679
11b;train;85.10401844978333;1.871;7658.829
11c;train;80.52102494239807;1.824;106.931
11d;train;88.01065683364868;1.799;122.486
12a;train;128.54884505271912;1.901;118.638
12b;train;89.71546173095703;2.105;74.174
12c;train;132.81548929214478;4.366;769.834
13a;train;144.82893323898315;5.422;1256.498
13b;train;120.17031741142273;2.911;135.35
13c;train;119.19693064689636;3.258;111.867
13d;train;148.24118399620056;3.27;4214.798
14a;train;111.5922303199768;5.22;730.577
14b;train;102.49395632743835;2.258;303.498
14c;train;120.39618682861328;5.655;1558.723
16a;train;111.5191764831543;1.981;163.841
16b;train;109.6426522731781;1.998;9651.701
16c;train;113.8321886062622;1.609;33385.077
16d;train;114.96778774261475;1.596;9468.013
17a;train;74.57912874221802;0.832;4399.486
17b;train;57.39944052696228;3.294;11418.06
17c;train;59.69747567176819;4.012;822.82
17d;train;60.774688482284546;2.659;2644.486
17e;train;60.2581000328064;0.821;25706.131
17f;train;69.96046662330627;1.242;8324.625
18a;train;79.6079638004303;4.404;23751.148
18b;train;97.76205801963806;3.331;1072.918
18c;train;89.72689890861511;4.01;2211.322
19a;train;613.99183344841;9.407;181.523
19b;train;590.2085912227631;8.379;85.886
19c;train;640.9601542949677;10.775;381.858
19d;train;628.048793554306;15.373;6225.888
20a;train;240.33820056915283;5.277;1622.755
20b;train;234.7102119922638;7.168;200.645
20c;train;248.23869967460632;10.676;1849.879
21a;train;249.1148042678833;4.101;30.008
21b;train;254.7072675228119;4.106;53.554
21c;train;259.0086524486542;4.244;37.63
22a;train;558.2292528152466;13.572;625.251
22b;train;541.7529845237732;13.444;225.201
22c;train;575.5885963439941;13.68;4211.03
22d;train;602.6315793991089;13.426;3194.734
23a;train;602.8877847194672;13.462;232.263
23b;train;547.8342087268829;12.461;198.2
23c;train;606.0517115592957;13.721;273.527
26a;train;650.5610907077789;22.249;15742.18
26b;train;645.9380788803101;26.079;319.527
26c;train;655.9085710048676;23.736;1508.828
27a;train;1109.86719083786;36.57;30.543
27b;train;1071.4427633285522;38.246;74.936
27c;train;1138.4110250473022;36.632;28.347
28a;train;2315.3230431079865;121.456;1325.05
28b;train;2285.081498861313;125.327;262.041
28c;train;2473.4215984344482;121.856;733.354
29a;train;19756.427890062332;1955.141;95.536
29b;train;19134.382726430893;1973.116;14.271
29c;train;18740.650156021118;1950.145;1180.031
30a;train;1308.2093193531036;35.351;3670.512
30b;train;1290.3116359710693;34.906;243.145
30c;train;1404.7275886535645;35.317;5743.241
32a;train;13.662174463272095;0.739;96.666
32b;train;13.089160442352295;0.756;133.27
33a;train;1018.4040563106537;128.102;26.874
33b;train;970.0999569892883;127.656;10.881
33c;train;1001.1810209751129;87.908;29.008
2a;test;14.136716842651367;0.507;331.769
2b;test;13.888202667236328;0.953;1817.885
2c;test;15.085160255432129;0.594;2915.886
2d;test;14.129045486450195;0.745;3534.14
7a;test;118.6263747215271;1.89;118.553
7b;test;92.15961503982544;2.14;115.847
7c;test;138.34878587722778;4.149;1370.495
15a;test;277.1401479244232;8.871;313.602
15b;test;274.34307074546814;4.862;36.26
15c;test;335.1246862411499;6.396;411.266
15d;test;330.9989228248596;7.518;424.597
24a;test;1692.2757349014282;37.996;566.337
24b;test;1629.1817309856415;36.611;81.12
25a;test;282.48554015159607;4.367;3333.441
25b;test;268.13416481018066;5.46;465.292
25c;test;278.4270393848419;12.686;17996.688
31a;test;823.1702954769135;19.738;270.914
31b;test;810.2368111610413;19.673;252.833
31c;test;825.4810454845428;18.639;6247.016
