query_ident;split;inference_time;planning_time;execution_time
q15__d5546c01928a687eb1f54e9f8eb4e1aff68fc381;train;0.0017554759979248047;21.947;158.237
q16__1e863562a79ca1f7754c759ebab6a2addda0bde8;train;0.001674652099609375;9.645;4075.46
q16__374e3e4c9eefc294fa4c46220953336298df3622;train;0.0017962455749511719;10.558;6280.193
q16__d5290889129fb8e625f2b36fa106e30d6c4b243b;train;0.0016033649444580078;9.954;114.273
q16__ea9efde510227beb8d624b8c4a6941b9d5e6e637;train;0.0015952587127685547;19.296;300.265
q16__ed2ffeaefcf5ad8bbadc713ccc766541e12080aa;train;0.0022368431091308594;9.42;1285.906
q16__f67cec3d635586efb847c832072be83b42cc45b7;train;0.0017664432525634766;17.6;162.447
q16__fbe34e8fdf672a34fd82cbbd6d9a81fd02ce17d1;train;0.0016639232635498047;9.865;5228.935
q1__q1-035;test;19.293652296066284;0.587;12.265
q2__q2-032;test;224.88637137413025;18.397;5001.772
q3__q3-043;test;182.72306156158447;62.666;11420.996
q4__q4-041;test;55.22850012779236;3.218;113.476
q5__q5-041;test;121.71718907356262;3.207;32.452
q6__q6-060;test;83.8845465183258;3.281;18.016
q7__q7-047;test;20.077179193496704;1.315;886.063
q8__q8-046;test;383.6915626525879;61.235;2206.206
q11__6c5cba419c5b7b02d431aeb5e766d775d812967a;test;0.001291513442993164;1.301;109.54
q12__547c6bf1994c9b2ba82a7ae32f4b051beabf46fd;test;0.001913309097290039;8.025;41.081
q13__935e2051bf80eeafe91aeb6eb719b6b64b9592c2;test;0.002031087875366211;77.428;2785.221
q14__5e4835cd72aaa2d7be15b2a5ffa2e66156b3656f;test;0.0019521713256835938;31.52;121.591
q15__543ab3f730e494a69e3d15e59675f491544cb15d;test;0.001680612564086914;16.955;214.556
q16__b1a96cd48ba297dd93bce73c27b491069ad7449f;test;0.0017504692077636719;10.041;539.317
