"Step","2023_10_16__094646 - hinter_latency","2023_10_16__094646 - hinter_latency__MIN","2023_10_16__094646 - hinter_latency__MAX","2023_10_16__094646 - test_query","2023_10_16__094646 - test_query__MIN","2023_10_16__094646 - test_query__MAX","2023_10_16__094646 - epoch","2023_10_16__094646 - epoch__MIN","2023_10_16__094646 - epoch__MAX","2023_10_16__094646 - pg_lateny","2023_10_16__094646 - pg_lateny__MIN","2023_10_16__094646 - pg_lateny__MAX"
"34","0.25490199999999996","0.25490199999999996","0.25490199999999996","0","0","0","0","0","0","0.254262","0.254262","0.254262"
"35","0.042411000000000004","0.042411000000000004","0.042411000000000004","0","0","0","0","0","0","0.040393","0.040393","0.040393"
"36","1.8218800000000002","1.8218800000000002","1.8218800000000002","0","0","0","0","0","0","2.253091","2.253091","2.253091"
"37","29.340413","29.340413","29.340413","0","0","0","0","0","0","3.7824850000000003","3.7824850000000003","3.7824850000000003"
"38","9.865306","9.865306","9.865306","0","0","0","0","0","0","9.576818999999999","9.576818999999999","9.576818999999999"
"39","0.111518","0.111518","0.111518","0","0","0","0","0","0","0.10143600000000001","0.10143600000000001","0.10143600000000001"
"40","9.776373","9.776373","9.776373","0","0","0","0","0","0","1.7175909999999999","1.7175909999999999","1.7175909999999999"
"41","0.024595","0.024595","0.024595","0","0","0","0","0","0","0.0248","0.0248","0.0248"
"42","0.42549200000000004","0.42549200000000004","0.42549200000000004","0","0","0","0","0","0","0.415571","0.415571","0.415571"
"43","0.037336","0.037336","0.037336","0","0","0","0","0","0","0.039966999999999996","0.039966999999999996","0.039966999999999996"
"44","6.985614","6.985614","6.985614","0","0","0","0","0","0","6.369256999999999","6.369256999999999","6.369256999999999"
"45","0.072768","0.072768","0.072768","0","0","0","0","0","0","0.07496299999999999","0.07496299999999999","0.07496299999999999"
"46","2.770128","2.770128","2.770128","0","0","0","0","0","0","2.626824","2.626824","2.626824"
"47","1.884965","1.884965","1.884965","0","0","0","0","0","0","1.909684","1.909684","1.909684"
"48","121.53415799999999","121.53415799999999","121.53415799999999","0","0","0","0","0","0","1.756721","1.756721","1.756721"
"49","1.464385","1.464385","1.464385","0","0","0","0","0","0","1.490834","1.490834","1.490834"
"50","14.490637000000001","14.490637000000001","14.490637000000001","0","0","0","0","0","0","14.463472","14.463472","14.463472"
"51","6.466893","6.466893","6.466893","0","0","0","0","0","0","6.386266","6.386266","6.386266"
"52","7.371873","7.371873","7.371873","0","0","0","0","0","0","0.286103","0.286103","0.286103"
"53","0.103477","0.103477","0.103477","0","0","0","0","0","0","0.10562600000000001","0.10562600000000001","0.10562600000000001"
"54","11.280734","11.280734","11.280734","0","0","0","0","0","0","9.737986999999999","9.737986999999999","9.737986999999999"
"55","0.031071","0.031071","0.031071","0","0","0","0","0","0","0.0299","0.0299","0.0299"
"56","0.031442","0.031442","0.031442","0","0","0","0","0","0","0.031841999999999995","0.031841999999999995","0.031841999999999995"
"57","1.4476849999999999","1.4476849999999999","1.4476849999999999","0","0","0","0","0","0","1.353272","1.353272","1.353272"
"58","11.823418","11.823418","11.823418","0","0","0","0","0","0","0.075464","0.075464","0.075464"
"59","0.028663","0.028663","0.028663","0","0","0","0","0","0","0.028467","0.028467","0.028467"
"60","6.131079","6.131079","6.131079","0","0","0","0","0","0","6.055071","6.055071","6.055071"
"61","0.111395","0.111395","0.111395","0","0","0","0","0","0","0.108674","0.108674","0.108674"
"62","0.024827000000000002","0.024827000000000002","0.024827000000000002","0","0","0","0","0","0","0.026814","0.026814","0.026814"
"63","0.842004","0.842004","0.842004","0","0","0","0","0","0","0.940842","0.940842","0.940842"
"64","2.091372","2.091372","2.091372","0","0","0","0","0","0","1.9871690000000002","1.9871690000000002","1.9871690000000002"
"65","0.394368","0.394368","0.394368","0","0","0","0","0","0","0.391032","0.391032","0.391032"
"66","7.135825","7.135825","7.135825","0","0","0","0","0","0","7.109049","7.109049","7.109049"
"67","0.547056","0.547056","0.547056","0","0","0","0","0","0","0.546308","0.546308","0.546308"
"68","0.6537200000000001","0.6537200000000001","0.6537200000000001","0","0","0","0","0","0","0.655817","0.655817","0.655817"
"69","0.234649","0.234649","0.234649","0","0","0","0","0","0","0.230761","0.230761","0.230761"
"70","2.5533580000000002","2.5533580000000002","2.5533580000000002","0","0","0","0","0","0","2.533522","2.533522","2.533522"
"71","0.622728","0.622728","0.622728","0","0","0","0","0","0","0.6239589999999999","0.6239589999999999","0.6239589999999999"
"72","1.325939","1.325939","1.325939","0","0","0","0","0","0","1.33495","1.33495","1.33495"
"73","0.029232","0.029232","0.029232","0","0","0","0","0","0","0.029741","0.029741","0.029741"
"74","0.394562","0.394562","0.394562","0","0","0","0","0","0","0.403352","0.403352","0.403352"
"75","0.10510800000000001","0.10510800000000001","0.10510800000000001","0","0","0","0","0","0","0.105854","0.105854","0.105854"
"76","120","120","120","0","0","0","0","0","0","0.91946","0.91946","0.91946"
"77","2.935368","2.935368","2.935368","0","0","0","0","0","0","2.963316","2.963316","2.963316"
"78","0.008433999999999999","0.008433999999999999","0.008433999999999999","0","0","0","0","0","0","0.00881","0.00881","0.00881"
"79","0.056137","0.056137","0.056137","0","0","0","0","0","0","0.051463999999999996","0.051463999999999996","0.051463999999999996"
"80","0.128861","0.128861","0.128861","0","0","0","0","0","0","0.127562","0.127562","0.127562"
"81","0.229447","0.229447","0.229447","0","0","0","0","0","0","0.223189","0.223189","0.223189"
"82","82.676198","82.676198","82.676198","0","0","0","0","0","0","0.44105500000000003","0.44105500000000003","0.44105500000000003"
"83","1.545166","1.545166","1.545166","0","0","0","0","0","0","1.53542","1.53542","1.53542"
"84","1.9488320000000001","1.9488320000000001","1.9488320000000001","0","0","0","0","0","0","1.9374580000000001","1.9374580000000001","1.9374580000000001"
"85","2.655421","2.655421","2.655421","0","0","0","0","0","0","2.6145210000000003","2.6145210000000003","2.6145210000000003"
"86","0.017228999999999998","0.017228999999999998","0.017228999999999998","0","0","0","0","0","0","0.017349","0.017349","0.017349"
"87","0.218638","0.218638","0.218638","0","0","0","0","0","0","0.213567","0.213567","0.213567"
"88","0.105321","0.105321","0.105321","0","0","0","0","0","0","0.102934","0.102934","0.102934"
"89","0.20930600000000002","0.20930600000000002","0.20930600000000002","0","0","0","0","0","0","0.209725","0.209725","0.209725"
"90","0.013701000000000001","0.013701000000000001","0.013701000000000001","0","0","0","0","0","0","0.01366","0.01366","0.01366"
"91","6.426986","6.426986","6.426986","0","0","0","0","0","0","6.628687","6.628687","6.628687"
"92","0.012844","0.012844","0.012844","0","0","0","0","0","0","0.013705","0.013705","0.013705"
"93","0.8653970000000001","0.8653970000000001","0.8653970000000001","0","0","0","0","0","0","0.853221","0.853221","0.853221"
"94","0.076846","0.076846","0.076846","0","0","0","0","0","0","0.078019","0.078019","0.078019"
"95","0.093429","0.093429","0.093429","0","0","0","0","0","0","0.09623999999999999","0.09623999999999999","0.09623999999999999"
"96","0.036232999999999994","0.036232999999999994","0.036232999999999994","0","0","0","0","0","0","0.035845999999999996","0.035845999999999996","0.035845999999999996"
"97","0.24174600000000002","0.24174600000000002","0.24174600000000002","0","0","0","0","0","0","0.237624","0.237624","0.237624"
"98","0.127625","0.127625","0.127625","0","0","0","0","0","0","0.12572","0.12572","0.12572"
"99","0.010816000000000001","0.010816000000000001","0.010816000000000001","0","0","0","0","0","0","0.010826","0.010826","0.010826"
"100","0.040378","0.040378","0.040378","0","0","0","0","0","0","0.042531","0.042531","0.042531"
"101","0.132855","0.132855","0.132855","0","0","0","0","0","0","0.136547","0.136547","0.136547"
"102","0.020321000000000002","0.020321000000000002","0.020321000000000002","0","0","0","0","0","0","0.020236999999999998","0.020236999999999998","0.020236999999999998"
"103","4.259429","4.259429","4.259429","0","0","0","0","0","0","4.25567","4.25567","4.25567"
"104","0.038432","0.038432","0.038432","0","0","0","0","0","0","0.038402","0.038402","0.038402"
"105","0.814712","0.814712","0.814712","0","0","0","0","0","0","0.868516","0.868516","0.868516"
"106","0.604183","0.604183","0.604183","0","0","0","0","0","0","0.6030399999999999","0.6030399999999999","0.6030399999999999"
"107","6.011996","6.011996","6.011996","0","0","0","0","0","0","6.063854","6.063854","6.063854"
"108","0.5419980000000001","0.5419980000000001","0.5419980000000001","0","0","0","0","0","0","0.546394","0.546394","0.546394"
"109","0.45967399999999997","0.45967399999999997","0.45967399999999997","0","0","0","0","0","0","0.459341","0.459341","0.459341"
"110","0.076752","0.076752","0.076752","0","0","0","0","0","0","0.07611499999999999","0.07611499999999999","0.07611499999999999"
"111","0.063038","0.063038","0.063038","0","0","0","0","0","0","0.06349199999999999","0.06349199999999999","0.06349199999999999"
"112","0.037566","0.037566","0.037566","0","0","0","0","0","0","0.039299999999999995","0.039299999999999995","0.039299999999999995"
"113","0.027323","0.027323","0.027323","0","0","0","0","0","0","0.026132000000000002","0.026132000000000002","0.026132000000000002"
"114","0.758334","0.758334","0.758334","0","0","0","0","0","0","0.754405","0.754405","0.754405"
"115","0.011288","0.011288","0.011288","0","0","0","0","0","0","0.011353","0.011353","0.011353"
"116","2.298259","2.298259","2.298259","0","0","0","0","0","0","2.252252","2.252252","2.252252"
"117","0.103202","0.103202","0.103202","0","0","0","0","0","0","0.104764","0.104764","0.104764"
"118","0.739462","0.739462","0.739462","0","0","0","0","0","0","0.732863","0.732863","0.732863"
"119","5.801885","5.801885","5.801885","0","0","0","0","0","0","5.761946","5.761946","5.761946"
"120","0.191459","0.191459","0.191459","0","0","0","0","0","0","0.201814","0.201814","0.201814"
"121","0.09163500000000001","0.09163500000000001","0.09163500000000001","0","0","0","0","0","0","0.091146","0.091146","0.091146"
"122","3.773937","3.773937","3.773937","0","0","0","0","0","0","3.749641","3.749641","3.749641"
"123","0.10731199999999999","0.10731199999999999","0.10731199999999999","0","0","0","0","0","0","0.109364","0.109364","0.109364"
"124","0.614158","0.614158","0.614158","0","0","0","0","0","0","0.620764","0.620764","0.620764"
"125","0.010157","0.010157","0.010157","0","0","0","0","0","0","0.009923","0.009923","0.009923"
"126","0.054814999999999996","0.054814999999999996","0.054814999999999996","0","0","0","0","0","0","0.054817","0.054817","0.054817"
"127","5.550937","5.550937","5.550937","0","0","0","0","0","0","5.657133","5.657133","5.657133"
"128","2.2737109999999996","2.2737109999999996","2.2737109999999996","0","0","0","0","0","0","2.216804","2.216804","2.216804"
"129","0.7477440000000001","0.7477440000000001","0.7477440000000001","0","0","0","0","0","0","0.7393930000000001","0.7393930000000001","0.7393930000000001"
"130","3.9890149999999998","3.9890149999999998","3.9890149999999998","0","0","0","0","0","0","3.9810309999999998","3.9810309999999998","3.9810309999999998"
"131","0.208205","0.208205","0.208205","0","0","0","0","0","0","0.210587","0.210587","0.210587"
"132","0.034664","0.034664","0.034664","0","0","0","0","0","0","0.043926","0.043926","0.043926"
"133","2.806069","2.806069","2.806069","0","0","0","0","0","0","2.8296550000000003","2.8296550000000003","2.8296550000000003"
"134","0.125527","0.125527","0.125527","0","0","0","0","0","0","0.12663","0.12663","0.12663"
"135","0.10885399999999999","0.10885399999999999","0.10885399999999999","0","0","0","0","0","0","0.110439","0.110439","0.110439"
"136","5.206933","5.206933","5.206933","0","0","0","0","0","0","5.139352","5.139352","5.139352"
"137","0.06925100000000001","0.06925100000000001","0.06925100000000001","0","0","0","0","0","0","0.06883700000000001","0.06883700000000001","0.06883700000000001"
"138","0.07814199999999999","0.07814199999999999","0.07814199999999999","0","0","0","0","0","0","0.07669100000000001","0.07669100000000001","0.07669100000000001"
"139","0.044433","0.044433","0.044433","0","0","0","0","0","0","0.046924","0.046924","0.046924"
"140","0.840012","0.840012","0.840012","0","0","0","0","0","0","0.839962","0.839962","0.839962"
"141","1.669756","1.669756","1.669756","0","0","0","0","0","0","1.680838","1.680838","1.680838"
"142","0.010981","0.010981","0.010981","0","0","0","0","0","0","0.010955999999999999","0.010955999999999999","0.010955999999999999"
"143","5.6520969999999995","5.6520969999999995","5.6520969999999995","0","0","0","0","0","0","5.5962700000000005","5.5962700000000005","5.5962700000000005"
"144","1.151307","1.151307","1.151307","0","0","0","0","0","0","1.149735","1.149735","1.149735"
"145","0.10850499999999999","0.10850499999999999","0.10850499999999999","0","0","0","0","0","0","0.10780200000000001","0.10780200000000001","0.10780200000000001"
"146","0.036848","0.036848","0.036848","0","0","0","0","0","0","0.036939","0.036939","0.036939"
"147","4.673894000000001","4.673894000000001","4.673894000000001","0","0","0","0","0","0","5.004957999999999","5.004957999999999","5.004957999999999"
"148","1.852265","1.852265","1.852265","0","0","0","0","0","0","1.855288","1.855288","1.855288"
"149","3.668958","3.668958","3.668958","0","0","0","0","0","0","3.85604","3.85604","3.85604"
"150","0.428387","0.428387","0.428387","0","0","0","0","0","0","0.44089999999999996","0.44089999999999996","0.44089999999999996"
"151","0.104502","0.104502","0.104502","0","0","0","0","0","0","0.107374","0.107374","0.107374"
"152","0.11245999999999999","0.11245999999999999","0.11245999999999999","0","0","0","0","0","0","0.109558","0.109558","0.109558"
"153","0.127935","0.127935","0.127935","0","0","0","0","0","0","0.12712600000000002","0.12712600000000002","0.12712600000000002"
"154","0.042863","0.042863","0.042863","0","0","0","0","0","0","0.036442999999999996","0.036442999999999996","0.036442999999999996"
"155","0.69847","0.69847","0.69847","0","0","0","0","0","0","0.702461","0.702461","0.702461"
"156","0.47619799999999995","0.47619799999999995","0.47619799999999995","0","0","0","0","0","0","0.481802","0.481802","0.481802"
"157","0.42267899999999997","0.42267899999999997","0.42267899999999997","0","0","0","0","0","0","0.423573","0.423573","0.423573"
"158","0.41875999999999997","0.41875999999999997","0.41875999999999997","0","0","0","0","0","0","0.41809199999999996","0.41809199999999996","0.41809199999999996"
"159","0.451434","0.451434","0.451434","0","0","0","0","0","0","0.429087","0.429087","0.429087"
"160","0.039076","0.039076","0.039076","0","0","0","0","0","0","0.039955","0.039955","0.039955"
"161","0.21059","0.21059","0.21059","0","0","0","0","0","0","0.208415","0.208415","0.208415"
"162","0.52518","0.52518","0.52518","0","0","0","0","0","0","0.52373","0.52373","0.52373"
"163","6.379543","6.379543","6.379543","0","0","0","0","0","0","6.392595999999999","6.392595999999999","6.392595999999999"
"164","3.563285","3.563285","3.563285","0","0","0","0","0","0","3.553303","3.553303","3.553303"
"165","0.39411399999999996","0.39411399999999996","0.39411399999999996","0","0","0","0","0","0","0.398572","0.398572","0.398572"
"166","0.49163","0.49163","0.49163","0","0","0","0","0","0","0.495844","0.495844","0.495844"
"167","0.079753","0.079753","0.079753","0","0","0","0","0","0","0.078421","0.078421","0.078421"
"168","0.033735999999999995","0.033735999999999995","0.033735999999999995","0","0","0","0","0","0","0.035081","0.035081","0.035081"
"169","1.4948759999999999","1.4948759999999999","1.4948759999999999","0","0","0","0","0","0","1.494858","1.494858","1.494858"
"170","1.4738520000000002","1.4738520000000002","1.4738520000000002","0","0","0","0","0","0","1.35775","1.35775","1.35775"
"171","1.322539","1.322539","1.322539","0","0","0","0","0","0","1.333456","1.333456","1.333456"
"172","1.416422","1.416422","1.416422","0","0","0","0","0","0","1.433241","1.433241","1.433241"
"173","0.10452","0.10452","0.10452","0","0","0","0","0","0","0.106257","0.106257","0.106257"
"174","0.31275400000000003","0.31275400000000003","0.31275400000000003","0","0","0","0","0","0","0.305016","0.305016","0.305016"
"175","1.247902","1.247902","1.247902","0","0","0","0","0","0","1.2059369999999998","1.2059369999999998","1.2059369999999998"
"176","5.149505","5.149505","5.149505","0","0","0","0","0","0","5.205976","5.205976","5.205976"
"177","0.045","0.045","0.045","0","0","0","0","0","0","0.037067","0.037067","0.037067"
"178","0.200035","0.200035","0.200035","0","0","0","0","0","0","0.203442","0.203442","0.203442"
"179","3.5125","3.5125","3.5125","0","0","0","0","0","0","3.449614","3.449614","3.449614"
"180","1.413683","1.413683","1.413683","0","0","0","0","0","0","1.421224","1.421224","1.421224"
"181","1.991962","1.991962","1.991962","0","0","0","0","0","0","1.9798879999999999","1.9798879999999999","1.9798879999999999"
"182","1.3249000000000002","1.3249000000000002","1.3249000000000002","0","0","0","0","0","0","1.3120209999999999","1.3120209999999999","1.3120209999999999"
"183","0.055882","0.055882","0.055882","0","0","0","0","0","0","0.057921999999999994","0.057921999999999994","0.057921999999999994"
"184","1.901729","1.901729","1.901729","0","0","0","0","0","0","1.898166","1.898166","1.898166"
"185","0.136446","0.136446","0.136446","0","0","0","0","0","0","0.131607","0.131607","0.131607"
"186","0.5327770000000001","0.5327770000000001","0.5327770000000001","0","0","0","0","0","0","0.533383","0.533383","0.533383"
"187","4.6927520000000005","4.6927520000000005","4.6927520000000005","0","0","0","0","0","0","4.687616","4.687616","4.687616"
"188","0.102197","0.102197","0.102197","0","0","0","0","0","0","0.101866","0.101866","0.101866"
"189","0.397623","0.397623","0.397623","0","0","0","0","0","0","0.39346","0.39346","0.39346"
"190","1.925469","1.925469","1.925469","0","0","0","0","0","0","1.762567","1.762567","1.762567"
"191","0.012561","0.012561","0.012561","0","0","0","0","0","0","0.013604","0.013604","0.013604"
"192","0.1586","0.1586","0.1586","0","0","0","0","0","0","0.16183","0.16183","0.16183"
"193","2.529776","2.529776","2.529776","0","0","0","0","0","0","2.593673","2.593673","2.593673"
"194","2.738174","2.738174","2.738174","0","0","0","0","0","0","2.708065","2.708065","2.708065"
"195","0.39092899999999997","0.39092899999999997","0.39092899999999997","0","0","0","0","0","0","0.390608","0.390608","0.390608"
"196","1.9113820000000001","1.9113820000000001","1.9113820000000001","0","0","0","0","0","0","1.911748","1.911748","1.911748"
"197","0.104657","0.104657","0.104657","0","0","0","0","0","0","0.10735299999999999","0.10735299999999999","0.10735299999999999"
"198","0.11704","0.11704","0.11704","0","0","0","0","0","0","0.118894","0.118894","0.118894"
"199","1.864491","1.864491","1.864491","0","0","0","0","0","0","1.9367619999999999","1.9367619999999999","1.9367619999999999"
"200","1.99695","1.99695","1.99695","0","0","0","0","0","0","1.987861","1.987861","1.987861"
"201","0.494561","0.494561","0.494561","0","0","0","0","0","0","0.5011720000000001","0.5011720000000001","0.5011720000000001"
"202","3.7775909999999997","3.7775909999999997","3.7775909999999997","0","0","0","0","0","0","3.8444540000000003","3.8444540000000003","3.8444540000000003"
"203","6.376386","6.376386","6.376386","0","0","0","0","0","0","6.981121","6.981121","6.981121"
"204","0.09600199999999999","0.09600199999999999","0.09600199999999999","0","0","0","0","0","0","0.094609","0.094609","0.094609"
"205","0.757506","0.757506","0.757506","0","0","0","0","0","0","0.7782190000000001","0.7782190000000001","0.7782190000000001"
"206","0.159999","0.159999","0.159999","0","0","0","0","0","0","0.157697","0.157697","0.157697"
"207","0.140756","0.140756","0.140756","0","0","0","0","0","0","0.14196199999999998","0.14196199999999998","0.14196199999999998"
"208","3.009551","3.009551","3.009551","0","0","0","0","0","0","2.94855","2.94855","2.94855"
"209","32.918472","32.918472","32.918472","0","0","0","0","0","0","32.83475","32.83475","32.83475"
"210","1.174578","1.174578","1.174578","0","0","0","0","0","0","1.090554","1.090554","1.090554"
"211","0.054113999999999995","0.054113999999999995","0.054113999999999995","0","0","0","0","0","0","0.054629","0.054629","0.054629"
"212","0.122922","0.122922","0.122922","0","0","0","0","0","0","0.123227","0.123227","0.123227"
"213","1.087462","1.087462","1.087462","0","0","0","0","0","0","1.081458","1.081458","1.081458"
"214","0.041989","0.041989","0.041989","0","0","0","0","0","0","0.041366","0.041366","0.041366"
"215","6.626074","6.626074","6.626074","0","0","0","0","0","0","6.6032340000000005","6.6032340000000005","6.6032340000000005"
"216","0.320682","0.320682","0.320682","0","0","0","0","0","0","0.320307","0.320307","0.320307"
"217","5.108301","5.108301","5.108301","0","0","0","0","0","0","5.147698999999999","5.147698999999999","5.147698999999999"
"218","0.008517","0.008517","0.008517","0","0","0","0","0","0","0.008596999999999999","0.008596999999999999","0.008596999999999999"
"219","0.203028","0.203028","0.203028","0","0","0","0","0","0","0.20428200000000002","0.20428200000000002","0.20428200000000002"
"220","0.031466","0.031466","0.031466","0","0","0","0","0","0","0.031519","0.031519","0.031519"
"221","0.055549999999999995","0.055549999999999995","0.055549999999999995","0","0","0","0","0","0","0.05522","0.05522","0.05522"
"222","3.194549","3.194549","3.194549","0","0","0","0","0","0","3.190172","3.190172","3.190172"
"223","0.102517","0.102517","0.102517","0","0","0","0","0","0","0.10245900000000001","0.10245900000000001","0.10245900000000001"
"224","4.883928","4.883928","4.883928","0","0","0","0","0","0","4.838039","4.838039","4.838039"
"225","0.014099","0.014099","0.014099","0","0","0","0","0","0","0.014216","0.014216","0.014216"
"226","0.03004","0.03004","0.03004","0","0","0","0","0","0","0.030545000000000003","0.030545000000000003","0.030545000000000003"
"227","0.018508","0.018508","0.018508","0","0","0","0","0","0","0.018462","0.018462","0.018462"
"228","5.61176","5.61176","5.61176","0","0","0","0","0","0","5.556232","5.556232","5.556232"
"229","0.046202","0.046202","0.046202","0","0","0","0","0","0","0.047358","0.047358","0.047358"
"230","0.273057","0.273057","0.273057","0","0","0","0","0","0","0.26819600000000005","0.26819600000000005","0.26819600000000005"
"231","0.16992400000000002","0.16992400000000002","0.16992400000000002","0","0","0","0","0","0","0.170683","0.170683","0.170683"
"232","0.020095","0.020095","0.020095","0","0","0","0","0","0","0.019943000000000002","0.019943000000000002","0.019943000000000002"
"233","1.650227","1.650227","1.650227","0","0","0","0","0","0","1.642512","1.642512","1.642512"
"234","1.049826","1.049826","1.049826","0","0","0","0","0","0","1.043093","1.043093","1.043093"
"235","0.182356","0.182356","0.182356","0","0","0","0","0","0","0.181665","0.181665","0.181665"
"236","0.390389","0.390389","0.390389","0","0","0","0","0","0","0.39327999999999996","0.39327999999999996","0.39327999999999996"
"237","0.725424","0.725424","0.725424","0","0","0","0","0","0","0.721431","0.721431","0.721431"
"238","0.105462","0.105462","0.105462","0","0","0","0","0","0","0.109181","0.109181","0.109181"
"239","0.040594","0.040594","0.040594","0","0","0","0","0","0","0.040557","0.040557","0.040557"
"240","0.069062","0.069062","0.069062","0","0","0","0","0","0","0.069438","0.069438","0.069438"
"241","7.69341","7.69341","7.69341","0","0","0","0","0","0","7.676679","7.676679","7.676679"
"242","1.1014929999999998","1.1014929999999998","1.1014929999999998","0","0","0","0","0","0","1.109901","1.109901","1.109901"
"243","0.125271","0.125271","0.125271","0","0","0","0","0","0","0.128658","0.128658","0.128658"
"244","0.144535","0.144535","0.144535","0","0","0","0","0","0","0.145255","0.145255","0.145255"
"245","0.07887000000000001","0.07887000000000001","0.07887000000000001","0","0","0","0","0","0","0.079769","0.079769","0.079769"
"246","0.10355500000000001","0.10355500000000001","0.10355500000000001","0","0","0","0","0","0","0.10996299999999999","0.10996299999999999","0.10996299999999999"
"247","0.07207599999999999","0.07207599999999999","0.07207599999999999","0","0","0","0","0","0","0.07247100000000001","0.07247100000000001","0.07247100000000001"
"248","0.061555","0.061555","0.061555","0","0","0","0","0","0","0.061548","0.061548","0.061548"
"249","0.168291","0.168291","0.168291","0","0","0","0","0","0","0.174476","0.174476","0.174476"
"250","1.82576","1.82576","1.82576","0","0","0","0","0","0","1.807461","1.807461","1.807461"
"251","2.109818","2.109818","2.109818","0","0","0","0","0","0","2.1240279999999996","2.1240279999999996","2.1240279999999996"
"252","0.10127","0.10127","0.10127","0","0","0","0","0","0","0.10031399999999999","0.10031399999999999","0.10031399999999999"
"253","0.017796","0.017796","0.017796","0","0","0","0","0","0","0.017812","0.017812","0.017812"
"254","0.023657","0.023657","0.023657","0","0","0","0","0","0","0.023646999999999998","0.023646999999999998","0.023646999999999998"
"255","0.121514","0.121514","0.121514","0","0","0","0","0","0","0.120909","0.120909","0.120909"
"256","1.326239","1.326239","1.326239","0","0","0","0","0","0","1.325862","1.325862","1.325862"
"257","0.060164","0.060164","0.060164","0","0","0","0","0","0","0.060328","0.060328","0.060328"
"258","0.728468","0.728468","0.728468","0","0","0","0","0","0","0.71525","0.71525","0.71525"
"259","0.154442","0.154442","0.154442","0","0","0","0","0","0","0.151961","0.151961","0.151961"
