run_id,run_type,experiment,method,query_ident,split,inference_time,planning_time,execution_time,total_time,timed_out
2,regular,base_query_split_1,Balsa,20c,train,158.6,5.046,1518.714,1682.36,False
0,regular,base_query_split_1,Balsa,21a,train,249.1,5.137,610.162,864.399,False
1,regular,base_query_split_1,Balsa,21a,train,223.20000000000002,3.88,501.842,728.922,False
2,regular,base_query_split_1,Balsa,21a,train,250.9,4.034,532.263,787.197,False
0,regular,base_query_split_1,Balsa,21b,train,436.2,4.978,589.238,1030.4160000000002,False
1,regular,base_query_split_1,Balsa,21b,train,367.3,4.054,526.928,898.2819999999999,False
2,regular,base_query_split_1,Balsa,21b,train,396.0,3.979,519.874,919.8530000000001,False
0,regular,base_query_split_1,Balsa,21c,train,252.8,5.166,625.711,883.677,False
1,regular,base_query_split_1,Balsa,21c,train,200.5,5.856,507.369,713.725,False
2,regular,base_query_split_1,Balsa,21c,train,223.8,4.547,549.451,777.798,False
0,regular,base_query_split_1,Balsa,22a,train,158.29999999999998,17.08,888.68,1064.06,False
1,regular,base_query_split_1,Balsa,22a,train,140.7,13.721,788.111,942.5319999999999,False
2,regular,base_query_split_1,Balsa,22a,train,157.9,14.052,790.707,962.659,False
0,regular,base_query_split_1,Balsa,22b,train,182.9,15.966,873.493,1072.3590000000002,False
1,regular,base_query_split_1,Balsa,22b,train,141.1,13.685,726.501,881.286,False
2,regular,base_query_split_1,Balsa,22b,train,164.6,14.585,773.091,952.2760000000001,False
0,regular,base_query_split_1,Balsa,22c,train,176.8,16.402,1197.332,1390.534,False
1,regular,base_query_split_1,Balsa,22c,train,134.3,13.754,1056.357,1204.411,False
2,regular,base_query_split_1,Balsa,22c,train,155.5,14.058,1075.308,1244.866,False
0,regular,base_query_split_1,Balsa,22d,train,169.4,17.258,1330.844,1517.502,False
1,regular,base_query_split_1,Balsa,22d,train,285.1,15.603,1110.159,1410.862,False
2,regular,base_query_split_1,Balsa,22d,train,160.70000000000002,14.308,1184.618,1359.626,False
0,regular,base_query_split_1,Balsa,23a,train,632.1999999999999,13.464,1921.293,2566.957,False
1,regular,base_query_split_1,Balsa,23a,train,372.0,15.154,1540.323,1927.477,False
2,regular,base_query_split_1,Balsa,23a,train,536.9000000000001,10.987,1638.233,2186.12,False
0,regular,base_query_split_1,Balsa,23b,train,589.7,16.337,687.784,1293.821,False
1,regular,base_query_split_1,Balsa,23b,train,533.5,13.427,589.037,1135.964,False
2,regular,base_query_split_1,Balsa,23b,train,608.8,14.643,640.84,1264.283,False
0,regular,base_query_split_1,Balsa,23c,train,263.79999999999995,15.312,1094.629,1373.741,False
1,regular,base_query_split_1,Balsa,23c,train,394.1,11.809,949.417,1355.326,False
2,regular,base_query_split_1,Balsa,23c,train,412.1,12.382,992.7,1417.182,False
0,regular,base_query_split_1,Balsa,24a,test,1026.5,50.078,1616.144,2692.7219999999998,False
1,regular,base_query_split_1,Balsa,24a,test,625.4,41.221,2497.671,3164.292,False
2,regular,base_query_split_1,Balsa,24a,test,573.3000000000001,45.777,2808.066,3427.143,False
0,regular,base_query_split_1,Balsa,24b,test,351.8,49.575,2793.929,3195.304,False
1,regular,base_query_split_1,Balsa,24b,test,263.1,42.662,2454.036,2759.7980000000002,False
2,regular,base_query_split_1,Balsa,24b,test,264.7,41.638,2488.304,2794.642,False
0,regular,base_query_split_1,Balsa,25a,test,556.5,4.223,8244.775,8805.498,False
1,regular,base_query_split_1,Balsa,25a,test,296.09999999999997,3.345,7681.787,7981.232,False
2,regular,base_query_split_1,Balsa,25a,test,298.0,3.407,7731.768,8033.175,False
0,regular,base_query_split_1,Balsa,25b,test,275.9,5.539,1018.676,1300.115,False
1,regular,base_query_split_1,Balsa,25b,test,247.1,5.031,933.371,1185.502,False
2,regular,base_query_split_1,Balsa,25b,test,247.1,5.067,945.433,1197.6,False
0,regular,base_query_split_1,Balsa,25c,test,353.8,3.94,10570.252,10927.992,False
1,regular,base_query_split_1,Balsa,25c,test,498.40000000000003,3.246,9631.246,10132.892,False
2,regular,base_query_split_1,Balsa,25c,test,530.3,3.416,9819.65,10353.366,False
0,regular,base_query_split_1,Balsa,26a,train,423.5,0.0,360000.0,360423.5,True
1,regular,base_query_split_1,Balsa,26a,train,200.1,23.349,1330.251,1553.7,False
2,regular,base_query_split_1,Balsa,26a,train,221.29999999999998,22.731,1350.644,1594.675,False
0,regular,base_query_split_1,Balsa,26b,train,250.4,23.918,1026.866,1301.184,False
1,regular,base_query_split_1,Balsa,26b,train,192.5,20.229,849.37,1062.099,False
2,regular,base_query_split_1,Balsa,26b,train,207.7,21.044,901.451,1130.195,False
0,regular,base_query_split_1,Balsa,26c,train,221.20000000000002,0.0,360000.0,360221.2,True
1,regular,base_query_split_1,Balsa,26c,train,188.6,24.445,1832.229,2045.2740000000001,False
2,regular,base_query_split_1,Balsa,26c,train,197.9,26.347,1781.213,2005.46,False
0,regular,base_query_split_1,Balsa,27a,train,419.0,43.817,690.331,1153.1480000000001,False
1,regular,base_query_split_1,Balsa,27a,train,524.0,36.373,595.258,1155.631,False
2,regular,base_query_split_1,Balsa,27a,train,601.6,36.635,605.272,1243.507,False
0,regular,base_query_split_1,Balsa,27b,train,423.9,44.706,674.119,1142.725,False
1,regular,base_query_split_1,Balsa,27b,train,217.70000000000002,36.975,590.937,845.6120000000001,False
2,regular,base_query_split_1,Balsa,27b,train,246.10000000000002,36.61,594.822,877.532,False
0,regular,base_query_split_1,Balsa,27c,train,450.29999999999995,42.399,654.709,1147.408,False
1,regular,base_query_split_1,Balsa,27c,train,404.2,33.679,557.368,995.2470000000001,False
2,regular,base_query_split_1,Balsa,27c,train,429.8,35.171,577.274,1042.245,False
0,regular,base_query_split_1,Balsa,28a,train,350.2,0.0,360000.0,360350.2,True
1,regular,base_query_split_1,Balsa,28a,train,492.20000000000005,117.36,1088.956,1698.516,False
2,regular,base_query_split_1,Balsa,28a,train,516.5,125.248,1169.028,1810.776,False
0,regular,base_query_split_1,Balsa,28b,train,488.0,147.918,1292.587,1928.505,False
1,regular,base_query_split_1,Balsa,28b,train,278.7,124.118,1170.055,1572.873,False
2,regular,base_query_split_1,Balsa,28b,train,310.09999999999997,123.257,1196.083,1629.44,False
0,regular,base_query_split_1,Balsa,28c,train,340.9,0.0,360000.0,360340.9,True
1,regular,base_query_split_1,Balsa,28c,train,300.09999999999997,114.17,1164.565,1578.835,False
2,regular,base_query_split_1,Balsa,28c,train,332.3,120.212,1255.985,1708.4969999999998,False
