10a;0.1434;2.3950;248.4380
10b;0.1845;1.8900;205.5730
10c;0.0951;2.6170;1514.6320
11a;0.2561;2.0850;76.6990
11b;0.2129;2.1540;49.2170
11c;0.1210;1.9540;126.8310
12a;0.1148;2.6400;144.4830
12b;0.2558;2.1580;95.8740
12c;0.1277;6.8510;640.7840
13a;0.3148;7.1760;1371.7590
13b;0.2870;3.6530;322.2020
13c;0.2241;4.7400;265.2510
13d;0.1673;7.9150;1957.4490
14a;0.1458;3.1050;310.9780
14b;0.1450;1.9070;78.1750
14c;0.1717;1.8610;442.8590
15b;0.3607;4.7920;29.2770
15c;0.3089;4.7710;770.1610
15d;0.1836;4.8130;811.0860
16a;0.1158;2.0310;153.7310
16b;0.1243;1.8560;7377.8760
16c;0.1738;4.1790;1420.0020
16d;0.2047;2.0690;1090.4670
17a;0.1745;1.2630;2160.2880
17c;0.0909;2.7910;384.8700
17d;0.0946;2.0850;436.0700
17f;0.3085;1.1420;3998.1470
18a;0.1519;2.2280;276.5260
18c;0.1495;3.9620;3504.4590
19a;0.2395;11.5020;182.7600
19b;0.2735;8.4370;93.3840
19c;0.2878;11.0740;400.5430
19d;0.1789;17.2260;3029.9500
1a;0.0572;0.6360;93.5250
1b;0.0621;0.6020;80.6140
1d;0.0944;0.6240;88.9720
20b;0.2757;5.5530;200.6840
20c;0.3603;5.6000;555.7490
21b;0.2213;4.5420;57.2520
21c;0.2338;4.5900;50.8620
22a;0.2042;13.8530;270.7280
22b;0.5239;13.4040;204.8810
22c;0.1836;14.5130;530.4270
22d;0.3290;17.9460;517.4330
23a;0.3484;13.3300;188.5430
23b;0.2584;13.1850;32.5190
23c;0.2432;17.5200;240.1510
24a;0.3747;36.8960;622.2630
24b;0.4398;37.2840;27.3360
25a;0.1853;3.9330;1447.9040
25b;0.2017;5.4660;90.9050
26a;0.3827;21.3460;313.7860
26b;0.3653;25.5670;125.4150
26c;0.4408;25.8410;788.8830
27a;0.3847;38.3240;13.2880
27b;0.3309;38.1620;13.1270
27c;0.5108;41.8040;15.8360
28a;0.3147;124.2770;700.6700
28c;0.2893;135.2130;369.1040
29a;0.6572;2007.1480;23.0860
29b;0.6431;1958.3060;16.9440
29c;1.1419;1934.2300;850.0270
2a;0.0598;0.4980;513.4770
2b;0.0635;0.5080;522.3630
2d;0.0628;0.5050;534.4960
30a;0.3928;35.0590;944.0630
30b;0.6656;37.5700;160.7260
30c;0.2825;38.3260;1286.7930
31a;0.2300;23.7390;173.1320
31b;0.7937;20.6610;29.9050
31c;0.2959;24.8050;248.2950
32a;0.0568;0.6270;9.4800
33b;0.3142;142.2410;604.1360
33c;0.6787;100.0170;91.1490
3a;0.0440;0.4620;106.2190
3b;0.0644;0.4270;63.7490
3c;0.0299;0.4810;210.2010
4a;0.0444;0.5180;61.0440
5a;0.0537;0.7180;128.0300
5b;0.0557;0.6400;117.0350
6b;0.0726;0.6230;109.9680
6d;0.0501;0.7200;200.0920
6f;0.0417;0.5500;3278.2190
7a;0.1285;2.0470;402.3610
7b;0.2532;2.8220;250.9800
7c;0.1502;3.5740;1775.0970
8a;0.1093;2.0490;239.1780
8d;0.0997;1.9830;1633.2380
9a;0.1961;2.8110;188.6720
9b;0.1397;2.9680;185.8800
9d;0.3958;7.0160;2615.4960
11d;0.1238;2.0540;146.4820
15a;0.1568;4.8450;1976.8450
17b;0.0941;1.2270;997.4880
17e;0.1133;1.1740;7146.7670
18b;0.0849;4.0110;1498.2870
1c;0.0493;0.5730;82.9220
20a;0.1676;5.6120;1492.6470
21a;0.1829;4.5920;82.7570
25c;0.1672;3.9350;4431.8640
28b;0.5408;127.5770;213.8860
2c;0.0687;0.4830;560.2630
32b;0.0534;0.6320;196.4390
33a;0.4048;145.3220;847.5760
4b;0.0467;0.5140;53.5020
4c;0.0470;0.4530;86.6370
5c;0.0547;0.8680;371.2900
6a;0.0650;0.4400;15.8870
6c;0.0763;0.6730;117.0640
6e;0.0522;0.6390;200.9210
8b;0.0921;1.8240;106.7860
8c;0.0952;1.0610;4305.4640
9c;0.0988;5.3580;360.4680
