10a;0.2396;1.1600;209.3040
10b;0.3143;1.0630;81.8390
10c;0.1951;2.8590;1668.8840
11a;0.1357;1.9920;26.4100
11b;0.1591;1.9220;2.3170
11c;0.1308;1.9960;127.4070
12a;0.1923;2.1810;606.0860
12b;0.3458;2.0820;266.8830
12c;0.2329;2.1090;1559.1150
13a;0.2701;4.8380;2352.8970
13b;0.3188;7.8100;535.4760
13c;0.3088;11.3630;491.8020
13d;0.1580;3.8870;3800.9870
14a;0.2732;1.8060;178.7820
14b;0.1120;2.2390;91.0760
14c;0.1071;1.9450;467.0740
15b;0.3911;4.9090;697.4640
15c;0.6035;4.8710;845.1130
15d;0.7615;4.9130;848.8660
16a;0.1687;2.0460;122.5720
16b;0.1053;1.8820;3688.8260
16c;0.1339;3.2830;1235.0760
16d;0.1344;2.0090;1204.2890
17a;0.1182;3.0860;2503.7410
17c;0.1105;3.2340;1475.5960
17d;0.1095;3.2360;1630.1430
17f;0.1139;3.6850;2190.8400
18a;0.1972;2.0840;267.3910
18c;0.3343;3.8980;2601.3990
19a;0.4915;10.2980;191.6460
19b;0.5812;11.9450;187.9710
19c;0.7032;13.4520;392.1920
19d;0.2824;11.6380;2682.5110
1a;0.0554;0.5050;4.6160
1b;0.0603;0.6380;0.1890
1d;0.0605;0.8630;0.2650
20b;0.4155;7.8170;214.0130
20c;0.1488;11.6780;991.8310
21b;0.1946;4.6840;27.4880
21c;0.1510;4.5140;30.4960
22a;0.2789;13.8620;305.9630
22b;0.1746;13.7990;252.4430
22c;0.1515;13.7140;563.3030
22d;0.1654;15.4430;667.3410
23a;0.2166;13.1820;910.3970
23b;0.3674;12.5970;30.4750
23c;0.1904;13.0840;912.6390
24a;0.2589;37.8310;110.6590
24b;0.3565;38.2460;47.8400
25a;0.1242;11.1640;1834.2060
25b;0.3025;4.5640;224.0360
26a;0.2167;23.8020;277.8080
26b;0.3037;24.3060;77.1230
26c;0.2232;21.4100;1100.6110
27a;0.4873;37.5230;26.8810
27b;1.1285;36.9140;7.1440
27c;0.4339;37.0170;26.7760
28a;0.2480;119.2580;228.9080
28c;0.2601;118.0080;257.8040
29a;1.6716;1838.5110;22.0770
29b;1.6403;1836.2870;15.7540
29c;0.7756;1813.0590;80.4060
2a;0.1195;0.9730;577.9680
2b;0.1497;0.7760;535.1660
2d;0.1231;0.7280;420.3260
30a;0.2046;33.3440;974.9540
30b;0.3264;34.7860;251.8710
30c;0.2660;33.8470;1809.5610
31a;0.1957;24.3660;1953.5580
31b;0.2944;20.2270;298.1370
31c;0.3374;24.7970;2117.2200
32a;0.0470;0.5860;8.0940
33b;0.2233;135.8830;619.8400
33c;0.2701;93.6670;705.9580
3a;0.0647;0.4940;144.0150
3b;0.0762;0.4650;67.3390
3c;0.1179;0.8380;407.2450
4a;0.0989;0.4670;56.6570
5a;0.1835;0.8050;291.8930
5b;0.1842;0.7560;285.7490
6b;0.0805;1.7990;209.5490
6d;0.0819;0.6240;204.8030
6f;0.0842;1.3590;1281.3500
7a;0.3323;1.9910;71.7610
7b;0.1520;2.1170;66.7410
7c;0.4961;4.6300;1136.9370
8a;0.1033;3.4390;897.5320
8d;0.2919;1.4840;4769.1370
9a;0.3027;3.2950;195.3680
9b;0.2565;3.0880;178.3800
9d;0.1130;4.6700;1837.0110
11d;0.6405;1.8700;143.0360
15a;0.6117;4.7530;708.9830
17b;0.1170;3.1220;1568.8710
17e;0.1515;3.0230;3309.0240
18b;0.2890;3.9730;1560.2240
1c;0.0572;0.4620;0.7950
20a;0.1220;9.3160;3076.3140
21a;0.2000;4.3240;27.1580
25c;0.3772;8.8580;1999.5990
28b;0.3023;122.5760;163.3060
2c;0.1444;1.3140;515.3170
32b;0.0492;0.6250;159.1220
33a;0.1994;131.1560;656.1770
4b;0.0857;0.5450;52.4750
4c;0.0747;0.4530;73.1200
5c;0.1894;0.7340;310.0990
6a;0.0762;0.6760;210.2280
6c;0.0861;0.5970;196.9860
6e;0.0836;0.7050;217.0470
8b;0.1341;1.6980;231.8280
8c;0.4261;1.3350;15608.6970
9c;0.4559;5.1120;1218.6640
