10a;0.1275;1.7310;204.1040
10b;0.3954;1.1440;96.2360
10c;0.1851;2.9740;1407.6030
11a;0.2291;2.0990;31.6190
11b;0.3106;1.9010;27.8120
11c;0.2988;1.9980;111.6920
11d;0.3818;2.0170;103.3430
12a;0.3153;3.5060;146.7100
12b;0.3253;2.6270;204.1870
12c;0.1678;4.4800;463.9470
14a;0.1556;1.9350;191.6470
14b;0.1805;2.0010;77.5550
14c;0.1620;2.1080;441.9640
16a;0.2258;2.1850;420.5460
16b;0.1741;7.2110;2143.3180
16c;0.1638;2.2190;1471.2510
16d;0.1610;2.2420;1296.1650
17a;0.1443;3.9500;1195.8820
17b;0.2742;2.9320;1501.7720
17c;0.1614;1.5590;242.4790
17d;0.1639;2.3750;413.4980
17e;0.1489;5.4090;1819.0230
17f;0.1516;3.8140;1926.6000
18a;0.1094;2.2300;292.1680
18b;0.1079;1.3170;137.6580
18c;0.1417;4.3200;2119.4000
19a;0.3171;9.1510;182.0970
19b;0.6468;8.5880;107.7460
19c;0.5599;13.1900;315.8090
19d;0.1601;15.2720;3639.4990
1a;0.0532;0.4870;5.0550
1b;0.0567;0.6060;0.2320
1c;0.0358;0.4350;0.8490
1d;0.0553;0.7310;0.2300
21a;0.3273;4.2070;32.4290
21b;0.3625;4.3180;30.0200
21c;0.4078;4.2960;35.7660
22a;0.7727;14.1860;323.5310
22b;0.4432;13.8310;163.7690
22c;0.2596;13.9580;496.6690
22d;0.1983;13.3830;571.2390
23a;0.3955;12.5340;187.4980
23b;0.2636;12.8510;26.0590
23c;0.2306;15.9160;243.4050
24a;0.2592;41.0730;738.0230
24b;0.4636;40.2730;29.6580
25a;0.3477;5.7720;1140.6750
25b;0.3691;4.5390;203.0620
25c;0.1921;11.7430;2519.6780
27a;0.5165;40.3820;20.7740
27b;0.8069;36.9980;38.3210
27c;0.6840;39.4000;22.2770
28a;0.4708;112.1150;368.8340
28b;0.9625;123.7860;174.9580
28c;0.4570;127.1470;288.1740
2a;0.0644;0.6230;461.9790
2b;0.0711;0.5320;440.1860
2c;0.0591;0.6510;403.2440
2d;0.0670;0.5490;537.1980
31a;0.5430;21.5850;166.7580
31b;0.3128;19.0580;24.3520
31c;0.5815;24.4180;227.9610
32a;0.0452;0.6410;19.7970
32b;0.0424;0.7020;167.0480
3a;0.0433;0.4320;99.1950
3b;0.0433;0.3790;61.5030
3c;0.0417;0.4260;245.2850
4a;0.0479;0.4870;56.7940
4b;0.0550;0.5240;52.3930
4c;0.0476;0.4880;77.3400
5a;0.0532;0.8030;121.9230
5b;0.0489;0.7540;114.0960
5c;0.0459;0.8480;151.1080
6a;0.0496;0.4250;13.0460
6b;0.0432;0.5520;132.9530
6c;0.0423;0.4280;8.6080
6d;0.0914;0.5240;6924.9520
6e;0.0919;0.4960;15.4260
6f;0.0420;1.4890;1251.6280
7a;0.1150;1.8910;121.2220
7b;0.1706;2.2990;121.0630
7c;0.1546;6.1660;524.3350
8a;0.1121;3.9310;713.4460
8b;0.2626;1.7770;135.4510
8c;0.1021;1.0760;3415.2170
8d;0.2922;1.4970;1486.6160
9a;0.2952;2.9290;183.0700
9b;0.3262;3.0880;179.6020
9c;0.2413;4.3920;316.5610
9d;0.1439;8.2280;2413.3630
13a;0.3064;3.2950;17140.9930
13b;0.3747;3.9850;208.9720
13c;0.3511;4.2910;123.9560
13d;0.2623;3.0210;17770.1060
15a;0.8758;12.8990;1974.2420
15b;0.5176;5.3940;24590.7350
15c;0.2452;12.7530;2345.4340
15d;0.2595;11.8470;2343.3640
20a;0.3315;3.9810;48267.5570
20b;0.5020;5.7390;889.8300
20c;0.3406;4.9210;21863.7920
26a;0.6549;44.1150;54202.1620
26b;0.5945;21.5470;16442.5380
26c;0.5591;18.1340;42560.9280
29a;0.3805;2008.7940;746.9490
29b;0.5667;2003.2000;716.8590
29c;0.5653;1937.8900;824.8670
30a;1.1970;35.4420;1442.1450
30b;0.9722;36.0990;286.0880
30c;1.0546;32.6010;1543.4400
33a;2.0541;131.4510;792.6760
33b;1.9035;125.6580;629.2450
33c;1.0417;84.0470;2384.7820
