10a;2.1649;-1.0000;-1.0000
10b;0.3717;-1.0000;-1.0000
10c;0.1887;3.2550;1781.3140
11a;0.2226;2.1980;29.3350
11b;0.1609;2.3000;2.5600
11c;0.1311;2.1270;138.9280
12a;0.2590;2.5020;670.0070
12b;0.3469;2.4640;327.1170
12c;0.3176;-1.0000;-1.0000
13a;0.2369;7.9030;2175.4000
13b;0.3298;5.0360;518.7920
13c;0.3451;8.8180;535.4840
13d;0.2752;3.6000;4495.7780
14a;0.2396;2.1520;218.4320
14b;0.1120;2.3910;80.9110
14c;0.1049;2.1410;486.7780
15b;0.3167;11.3820;925.3650
15c;0.5727;5.3590;866.3180
15d;0.7168;5.2410;976.0890
16a;0.1655;2.1520;141.5330
16b;0.0966;1.6970;4130.6990
16c;0.0879;3.6170;1703.5450
16d;0.1547;2.7510;1656.5330
17a;0.0798;1.8340;2855.6790
17c;0.1076;3.2810;1846.2660
17d;0.1067;3.3110;1923.6330
17f;0.0936;3.4520;2324.2220
18a;0.1753;1.8440;278.6330
18c;0.5490;4.0710;3001.0950
19a;0.7812;13.4480;195.5190
19b;0.8224;12.8520;193.7460
19c;1.2339;16.5290;380.4660
19d;0.1657;6.8800;3360.7970
1a;0.0603;0.6380;5.4820
1b;0.0666;0.4630;0.1620
1d;0.0650;0.6290;0.2120
20b;0.2543;7.3130;228.2900
20c;0.1482;6.5080;794.4890
21b;0.3469;5.1530;30.8760
21c;0.1755;5.0540;36.8560
22a;0.1723;14.8240;316.7950
22b;0.1862;15.4320;246.5710
22c;0.1907;15.0980;641.1100
22d;0.1885;14.4500;786.5170
23a;0.5314;14.7260;1117.5300
23b;0.5399;15.4010;59.9020
23c;0.3656;15.7540;1086.0190
24a;0.7206;-1.0000;-1.0000
24b;0.4506;45.3730;64.4260
25a;0.1411;11.2580;1926.6760
25b;0.1726;4.8400;252.6160
26a;0.3810;-1.0000;-1.0000
26b;0.2483;28.2620;75.2100
26c;0.2098;-1.0000;-1.0000
27a;0.3541;44.1810;33.2080
27b;0.9845;46.0630;7.3640
27c;0.3257;44.4340;34.3190
28a;0.4640;136.9530;284.1610
28c;0.2798;131.0380;327.6430
29a;2.4214;2016.9050;16.1290
29b;2.3256;2240.3540;21.0440
29c;0.6622;1962.0030;47.3190
2a;0.1652;0.5750;539.0730
2b;0.1642;0.6350;515.1550
2d;0.1394;0.6140;848.8440
30a;0.2365;30.0820;2198.1460
30b;0.3880;37.1740;301.5730
30c;0.2097;32.2250;1925.9290
31a;0.1701;26.0210;1757.2740
31b;0.3193;21.6010;303.7940
31c;0.3556;25.8710;2009.8230
32a;0.0600;0.9370;9.9980
33b;0.2395;160.5560;697.3930
33c;0.2313;103.3410;770.0530
3a;0.0731;0.5070;302.3160
3b;0.0734;0.4810;107.2920
3c;0.1129;0.4540;434.9850
4a;0.1020;0.5270;85.8130
5a;0.1627;0.8230;332.9960
5b;0.1609;0.9130;322.5390
6b;0.0889;0.5900;152.5380
6d;0.0780;0.7900;215.3410
6f;0.1040;1.0620;1436.5760
7a;0.1569;2.4050;102.5390
7b;0.1781;2.3320;93.9990
7c;0.5892;5.7430;1230.2440
8a;0.0825;3.5500;965.9050
8d;0.3118;1.4090;4327.1100
9a;0.3952;4.2710;210.2770
9b;0.3833;4.0480;207.3600
9d;0.1199;5.6940;2113.5850
11d;0.2264;2.1270;153.8600
15a;0.6491;5.3660;952.0060
17b;0.0999;3.2520;1903.8500
17e;0.1330;1.0700;3716.8520
18b;0.4302;4.0330;1835.0010
1c;0.0483;0.5230;0.9010
20a;0.1613;6.8070;3574.0570
21a;0.4911;5.0090;33.5260
25c;0.1395;6.8210;2139.2210
28b;0.3397;134.0970;210.8430
2c;0.1638;0.6550;482.0190
32b;0.0529;0.8100;190.0500
33a;0.2534;150.6660;679.6630
4b;0.1163;0.6360;92.2930
4c;0.0849;0.5620;95.6500
5c;0.1424;0.7550;362.0320
6a;0.0798;0.4740;15.2860
6c;0.0870;0.4540;10.1450
6e;0.0811;0.5470;215.3050
8b;0.3550;4.5100;246.5230
8c;0.4395;1.5280;15217.7700
9c;0.1694;6.1360;738.9970
