10b;0.2022;1.6640;175.8730
10c;0.1547;1.1400;1816.0770
11b;0.2699;2.3150;26.5600
11c;0.2755;2.1240;118.2310
12a;0.1649;2.6740;171.8160
12b;0.2524;2.8260;91.4240
12c;0.1647;3.7290;605.0010
13a;0.3922;5.3290;1412.1960
13b;0.4249;6.0930;568.6860
14a;0.3045;1.9070;208.0840
14b;0.1487;2.0660;84.8660
14c;0.1248;1.9660;461.1790
15a;0.2262;7.0330;244.4060
15b;0.4337;5.2520;136.6440
15c;0.4281;4.8020;720.9620
16b;0.1931;4.9040;3301.8050
16c;0.2289;2.0440;1446.6810
16d;0.1312;2.1470;1209.6770
17a;0.1343;3.6980;2269.6790
17c;0.1281;1.5580;242.6850
17d;0.1229;3.0360;475.0140
17e;0.1279;4.2370;2634.2270
17f;0.0828;3.7760;3067.3320
18a;0.3009;3.9510;2848.3450
18b;0.1399;2.0590;145.6320
18c;0.1567;4.3120;3379.2610
19b;0.1836;8.5770;108.9510
19c;0.6617;11.3180;307.8780
19d;0.1892;18.6870;2839.5210
1b;0.0524;0.6320;0.2550
1c;0.0497;0.4400;0.8600
1d;0.0516;0.5730;0.2280
20b;0.2553;10.4810;658.3700
20c;0.4928;10.6760;644.1580
21a;0.1844;4.1770;39.2590
21b;0.2091;4.2590;35.6280
21c;0.2536;4.4130;40.6510
22a;0.4110;13.4470;326.0890
22c;0.3589;14.7960;672.5660
22d;0.1829;14.1760;650.1980
23a;0.3190;16.1500;228.3590
23b;0.2312;13.3540;27.3510
23c;0.2227;15.0060;292.4300
24a;1.0409;40.0900;127.3990
24b;0.5551;39.6230;63.8070
25a;0.1427;3.9250;1567.1640
25c;0.2102;11.4010;3480.2800
26a;0.2358;28.2830;493.3690
26b;0.5160;23.6580;121.9200
26c;0.2878;31.0970;1611.0590
27a;0.3369;37.0410;37.4180
27b;0.7787;38.4270;13.9320
27c;0.3327;39.6700;33.2890
28a;0.5683;130.9340;351.4880
28b;0.2994;118.9610;248.3230
28c;0.3229;129.0220;416.3160
29a;1.1041;1957.2360;19.0660
29c;0.6948;1985.1520;450.4750
2a;0.0659;1.5100;424.4450
2b;0.0684;1.4230;459.6500
2c;0.0663;0.5080;313.2150
2d;0.0534;1.4810;415.6000
30a;0.9792;36.0420;495.9720
30b;0.4101;35.7180;131.8090
30c;0.7525;29.3970;1848.9740
31b;0.8425;18.8050;26.2930
31c;0.3424;23.9340;396.8030
32a;0.0775;0.6810;21.3780
33a;0.6047;141.5560;42.0950
33b;0.3452;142.4780;54.2300
33c;1.9692;88.1490;444.5550
3a;0.0592;0.4480;119.9410
3b;0.0662;0.4100;77.0410
3c;0.0594;0.4490;237.0540
4a;0.0483;0.5320;79.5500
4b;0.0594;0.5620;74.5940
5a;0.0490;0.7740;119.1350
5b;0.0763;0.7260;116.5180
6a;0.0734;0.4330;13.9870
6b;0.1504;0.5180;175.1230
6e;0.0812;0.6040;226.1500
6f;0.0633;1.9270;2310.2090
7a;0.1606;1.8690;428.6700
7c;0.1303;3.9380;925.8380
8a;0.0982;4.3010;677.2980
8b;0.1647;3.9710;135.6350
8d;0.2282;2.7440;1203.0210
9a;0.3124;2.9010;184.3550
9b;0.2773;3.0640;185.1100
9c;0.5160;2.7320;298.4280
9d;0.1074;8.8520;2331.3410
10a;0.1998;3.3530;312.9070
11a;0.1716;2.0160;34.5630
11d;0.1403;2.0670;112.4650
13c;0.4028;5.8780;543.9600
13d;0.1592;8.9480;1817.6460
15d;0.3141;4.7210;854.8110
16a;0.1612;2.1170;142.2430
17b;0.1273;4.3370;1763.1180
19a;0.7279;10.2560;196.1240
1a;0.0885;0.9570;261.0200
20a;0.2410;8.5390;26399.1860
22b;0.4561;13.7160;183.9140
25b;0.1962;4.4070;220.8350
29b;1.2208;2086.9390;16.5730
31a;0.3962;24.5130;210.6870
32b;0.0765;0.7060;173.0680
4c;0.0450;0.5440;95.4000
5c;0.0697;0.9690;153.7160
6c;0.1574;0.4440;8.7750
6d;0.0811;0.6430;4032.6440
7b;0.1198;2.2960;645.9770
8c;0.2525;1.1260;8273.3120
