10b;0.1345;3.4760;1019.3470
10c;0.1703;1.4930;2745.3250
11b;0.5220;2.2690;423.1570
11c;0.1825;1.9300;455.8020
11d;0.2253;2.3730;494.1170
12b;0.3254;1.9030;297.1830
12c;0.3369;2.5940;1046.8570
13a;0.3755;3.9630;3365.5590
13b;0.3167;3.4560;1604.6510
13c;0.3243;3.6210;1453.8200
14a;0.4165;2.0320;1162.0870
14c;0.3046;2.1480;1209.2680
15a;0.6768;6.7450;467.4410
15c;0.2840;5.5040;470.1970
15d;0.2894;4.4680;580.7150
16b;0.3879;3.6930;7090.6700
16c;0.2487;3.5870;3700.4780
16d;0.2594;3.1400;3554.9810
17a;0.3434;2.0380;5081.7940
17b;0.2396;1.7830;5298.4520
17c;0.2376;1.8120;5172.0830
17d;0.2411;1.4460;5204.8420
17e;0.1843;2.0940;5229.4050
18b;0.3047;1.3150;610.1710
18c;0.3636;1.2420;5797.5320
19a;0.7711;17.4830;1913.1700
19b;0.8716;19.7300;1919.5270
19c;0.5017;19.5340;1593.6060
1a;0.0542;0.5760;206.9080
1b;0.0518;0.5040;206.3230
1c;0.0491;0.7580;447.1320
20b;0.4265;5.6310;1230.7790
20c;0.6286;6.5770;1838.7640
21a;0.2384;4.5020;414.6780
21c;0.2318;4.8590;428.2530
22a;0.7361;12.6690;1573.5680
22b;0.7778;13.8220;1606.0070
22d;1.0423;13.5110;3248.3450
23a;0.4021;14.6480;825.5810
23c;0.2575;20.5220;817.1160
24a;1.1490;33.0890;3259.8900
25b;0.5995;4.6180;848.7480
25c;0.5692;5.0350;2637.3050
26b;1.2822;23.0090;619.8140
26c;0.9315;26.3160;2075.0020
27a;0.8389;35.5990;493.1460
27c;0.3781;35.4300;472.5540
28a;1.6063;113.9150;1499.3520
28b;1.9332;132.0640;1259.3880
29b;3.0588;2092.2930;3883.9320
29c;3.1886;1871.1060;3075.8350
2a;0.0821;0.5700;651.1110
2b;0.0819;0.6020;638.3090
2c;0.0593;0.5980;582.3910
30a;1.7338;34.0730;1231.4230
30c;1.4514;35.7200;2222.3490
31b;1.1867;20.4180;1137.3570
31c;1.0889;20.0980;1746.1160
32a;0.1392;0.7010;252.2450
33a;0.3235;137.7170;788.1820
33c;0.4531;91.4020;885.6560
3b;0.0544;0.5680;245.8120
3c;0.0559;0.9430;395.2290
4a;0.0784;0.5980;382.3340
4c;0.0602;0.6290;411.3530
5a;0.1409;0.7030;284.5270
5b;0.1303;0.8280;308.5840
6a;0.1850;0.6670;212.3150
6b;0.1964;0.7000;395.7440
6c;0.1957;0.6190;208.8770
6e;0.1704;0.5800;213.8520
6f;0.0991;0.7190;7003.8950
7b;0.4646;2.1660;389.0830
7c;0.5686;2.4310;3224.8490
8a;0.2544;1.4360;1043.8260
8b;0.2516;5.2280;1236.3170
8d;0.3613;1.1400;5786.6410
9a;0.2065;7.5640;1341.7060
9b;0.1802;7.1900;1247.9250
9d;0.1915;7.8160;2015.8140
10a;0.1427;3.1610;740.6460
11a;0.1569;2.1830;387.2700
12a;0.4924;2.3920;695.8700
13d;0.3923;3.3620;7047.2800
14b;0.3526;2.1520;1092.8340
15b;0.6231;9.2160;469.5760
16a;0.5500;3.4190;3152.7000
17f;0.1833;1.5210;5265.4310
18a;0.4126;1.2250;10260.7760
19d;0.6034;9.9660;6681.7140
1d;0.0503;0.5740;214.5210
20a;0.6980;5.5410;3187.1370
21b;0.2231;4.7550;428.8930
22c;1.0609;12.1000;1504.5430
23b;0.9599;13.9790;2055.3300
24b;1.4209;44.0290;3359.9230
25a;0.8036;5.8550;2186.5120
26a;1.1122;24.8930;1375.9370
27b;0.3385;38.7710;501.6310
28c;2.0661;121.7650;1737.5140
29a;3.1405;2059.5480;4120.1130
2d;0.1963;0.7230;675.9710
30b;1.8738;37.1360;1094.2760
31a;1.3711;19.7700;1839.6870
32b;0.1430;1.1250;442.7740
33b;0.2821;141.7960;796.7200
3a;0.0588;0.6610;267.3950
4b;0.1225;0.6630;294.1520
5c;0.1008;0.6800;1219.7280
6d;0.1772;0.6730;4884.0740
7a;0.6848;2.4430;2455.4550
8c;0.2973;1.2430;10258.4650
9c;0.1325;8.7020;1672.7410
